Date, Close/Last, Volume, Open, High, Low
05/22/2020, $9.7, 37596760, $10.02, $10.12, $9.63
05/21/2020, $9.89, 45785720, $9.87, $10.15, $9.83
05/20/2020, $9.87, 44006730, $9.91, $10.14, $9.77
05/19/2020, $9.64, 62242480, $10.14, $10.19, $9.59
05/18/2020, $9.87, 76624410, $9.62, $9.94, $9.36
05/15/2020, $9.04, 39560530, $8.85, $9.36, $8.76
05/14/2020, $9.15, 72320520, $8.77, $9.19, $8.25
05/13/2020, $9.11, 68704640, $9.52, $9.53, $8.83
05/12/2020, $9.65, 46833140, $10.01, $10.2, $9.6
05/11/2020, $10.1, 48705950, $9.92, $10.25, $9.59
05/08/2020, $10.14, 59649750, $9.78, $10.15, $9.68
05/07/2020, $9.54, 61817000, $9.3, $9.8, $9.29
05/06/2020, $9.25, 68990970, $9.58, $9.73, $9.09
05/05/2020, $9.51, 86943950, $10.26, $10.38, $9.5
05/04/2020, $9.82, 125580000, $9.41, $10.17, $9.15
05/01/2020, $10.64, 99441400, $11.41, $11.66, $10.58
04/30/2020, $12.01, 94921440, $11.92, $12.59, $11.26
04/29/2020, $12.63, 113669400, $12.1, $12.89, $12.02
04/28/2020, $11.26, 114643000, $10.29, $11.63, $10.21
04/27/2020, $10.02, 67378760, $10.53, $10.53, $10
04/24/2020, $10.31, 67234910, $10.4, $10.5, $9.9
04/23/2020, $10.25, 54598510, $10.36, $10.67, $10.24
04/22/2020, $10.27, 76320110, $11.09, $11.13, $10.015
04/21/2020, $11, 49882260, $10.795, $11.22, $10.7
04/20/2020, $11.06, 58984770, $11.15, $11.35, $10.72
04/17/2020, $11.57, 61279470, $11.87, $11.945, $11.5
04/16/2020, $11.07, 83626980, $11.91, $12.03, $11.05
04/15/2020, $12.29, 124719900, $12.52, $12.69, $11.39
04/14/2020, $11.945, 68039490, $12.22, $12.6, $11.75
04/13/2020, $11.56, 73385530, $12.9, $12.95, $11.25
04/09/2020, $12.51, 117592800, $12.64, $13.4, $11.82
04/08/2020, $11.33, 82718690, $10.91, $11.4, $10.5
04/07/2020, $10.22, 138061000, $11.07, $12.2, $10.05
04/06/2020, $9.5, 94272310, $9.72, $9.94, $9.11
04/03/2020, $9.39, 87018880, $10.34, $10.49, $9.09
04/02/2020, $10.06, 65534610, $10.61, $11.03, $10
04/01/2020, $10.69, 56854450, $11.45, $11.48, $10.5
03/31/2020, $12.19, 44851440, $12.9, $12.96, $12.1
03/30/2020, $12.25, 50516760, $13.2, $13.22, $11.81
03/27/2020, $14.04, 50783460, $14.98, $15.22, $13.91
03/26/2020, $15.66, 77627480, $16.06, $17.24, $15.16
03/25/2020, $15.39, 93795090, $16.69, $16.99, $14.31
03/24/2020, $13.92, 101553100, $11.9565, $14.81, $11.5401
03/23/2020, $10.25, 56427280, $10.9, $11.36, $10.01
03/20/2020, $10.38, 62681780, $10.653, $12, $10.3
03/19/2020, $10.29, 71584500, $11.6, $12.16, $10.01
03/18/2020, $11.65, 78458780, $14.24, $14.28, $10.17
03/17/2020, $15.58, 58055820, $15.785, $18.49, $14.79
03/16/2020, $15.92, 84916840, $12.407, $16.2, $12
03/13/2020, $14.31, 58376120, $15.3, $15.6, $13.12
03/12/2020, $13.45, 53968490, $14.05, $15.75, $13.33
03/11/2020, $16.26, 43778180, $16.31, $16.49, $15.52
03/10/2020, $17, 56972740, $15.82, $17.67, $14.61
03/09/2020, $14.75, 42558020, $14.87, $15.79, $14.46
03/06/2020, $15.97, 54504970, $15.02, $17.12, $14.8
03/05/2020, $16.04, 44656810, $17.54, $17.65, $15.98
