Reporting Period,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Asset Turnover,0.527,0.597,0.701,0.77,0.865,0.882,0.86,0.899,0.938,0.982
Average Assets,133889750000,128173250000,124106750000,119622000000,116355500000,114690500000,113441250000,107528250000,101738500000,95769500000
Book Value per Share,-17.079,-15.311,-7.231,-9.414,0.218,0.597,-2.219,-2.448,2.046,2.78
Current Ratio,1.175,1.051,1.107,1.032,1.07,1.076,1.104,1.112,1.146,1.141
Debt to Equity Ratio,-15.772,-16.47,-33.141,-24.653,959.816,344.982,-89.89,-79.507,91.858,66.817
Dividend Yield,0.055,0.025,0.021,0.021,0.019,0.021,0.018,0.019,0.018,0.019
EBITDA,-2915000000,734000000,6993000000,7799000000,13728000000,14193000000,12993000000,13415000000,13256000000,12514000000
EBITDA [USD],-2915000000,734000000,6993000000,7799000000,13728000000,14193000000,12993000000,13415000000,13256000000,12514000000
EBITDA Margin,-0.041,0.01,0.08,0.085,0.136,0.14,0.133,0.139,0.139,0.133
Earnings before Tax,-6082000000,-2259000000,4129000000,5085000000,11098000000,11604000000,10475000000,10925000000,10801000000,10107000000
Average Equity,-6930000000,-4482500000,-2243500000,-1536750000,-566500000,-292250000,37000000,630750000,481750000,200000000
Enterprise Value,101738466659,198223872062,224143276744,212711100276,225863553226,186985031502,217656641977,198678742251,196801941230,177841062218
Enterprise Value over EBIT,-19,-129,47,38,19,15,20,18,18,17
Enterprise Value over EBITDA,-34.902,270.06,32.053,27.274,16.453,13.174,16.752,14.81,14.846,14.211
Free Cash Flow,-11015000000,-3946000000,1176000000,8240000000,13348000000,13720000000,13795000000,12619000000,12827000000,11699000000
Free Cash Flow per Share,-19.465,-7.011,2.066,14.576,23.319,24.16,23.752,21.435,21.479,19.643
Foreign Currency to USD Exchange Rate,1,1,1,1,1,1,1,1,1,1
Gross Margin,0.005,0.058,0.132,0.136,0.192,0.194,0.187,0.191,0.189,0.185
Invested Capital,61148000000,42732000000,43991000000,32309000000,33037000000,30710000000,30832000000,31423000000,33151000000,31886000000
Invested Capital Average,45045000000,38017250000,35011750000,31722000000,31500500000,31529000000,31823000000,31847500000,31804500000,32182500000
Market Capitalization,83921466659,183334872062,214094276744,204803100276,219653553226,183143031502,213659641977,195461742251,194497941230,175642062218
Profit Margin,-0.048,-0.008,0.044,0.054,0.101,0.103,0.106,0.101,0.098,0.09
Price to Earnings (Damodaran Method),-24.589,-288.262,56.37,41.01,21.679,17.509,20.631,19.939,20.789,20.766
Price to Earnings Ratio,-24.733,-290.857,57.473,42.033,21.622,17.867,21.119,20.297,20.924,21.02
Price to Sales Ratio,1.196,2.395,2.49,2.233,2.169,1.811,2.214,2.044,2.052,1.868
Price to Sales (Damodaran Method),1.19,2.395,2.461,2.222,2.182,1.811,2.19,2.023,2.038,1.868
Price to Book Value,-8.683,-21.276,-52.015,-38.482,1757.228,540.245,-165.756,-135.643,159.164,106.064
Return on Invested Capital,-0.116,-0.04,0.136,0.177,0.368,0.383,0.342,0.355,0.351,0.325
Sales per Share,124.669,136.034,152.827,163.02,175.86,178.076,167.968,164.146,159.789,157.838
Payout Ratio,-1.363,-7.339,1.19,0.87,0.407,0.379,0.372,0.379,0.381,0.405
Return on Average Assets,-0.025,-0.005,0.031,0.042,0.087,0.091,0.091,0.091,0.092,0.088
Return on Average Equity,0.492,0.142,-1.693,-3.25,-17.885,-35.791,279.892,15.542,19.421,42.29
Return on Sales,-0.074,-0.02,0.055,0.061,0.115,0.119,0.112,0.117,0.117,0.111
Tangible Asset Value,131762000000,122227000000,120948000000,114449000000,108744000000,106090000000,106407000000,105151000000,105466000000,104230000000
Tangible Asset Book Value per Share,232.836,217.18,212.488,202.457,189.979,186.816,183.208,178.616,176.601,175.006
Working Capital,16509000000,4917000000,9810000000,2922000000,5894000000,6240000000,8269000000,8676000000,11011000000,10546000000
