Reporting Period,2020-01-31,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31
Asset Turnover,0.399,0.431,0.476,0.482,0.501,0.515,0.537,0.558,0.57,0.576
Average Assets,42889500000,36792250000,30953750000,29075500000,26527750000,24339500000,22065009000,19963959750,18487942250,17388173000
Book Value per Share,40.875,37.86,22.121,21.331,20.779,19.333,18.11,15.171,14.512,12.314
Current Ratio,1.075,1.053,0.971,0.957,0.949,0.856,0.803,1.286,0.952,0.824
Debt to Equity Ratio,0.627,0.501,0.942,1.016,0.97,0.81,0.909,1.076,1.119,0.98
Dividend Yield,0,0,0,0,0,0,0,0,0,0
EBITDA,2841000000,2726000000,2439000000,2302000000,1965000000,1826000000,1796000000,1589000000,1204000000,1164004000
EBITDA [USD],2841000000,2726000000,2439000000,2302000000,1965000000,1826000000,1796000000,1589000000,1204000000,1164004000
EBITDA Margin,0.166,0.172,0.166,0.164,0.148,0.146,0.152,0.143,0.114,0.116
Earnings before Tax,706000000,949000000,1013000000,1080000000,983000000,965000000,983000000,815000000,420000000,329148000
Average Equity,25194000000,20624000000,15977500000,15068000000,13721500000,12414250000,10948342500,9679171000,8897793000,8178824750
Enterprise Value,163934970000,139751730000,122013000000,127991850000,117828050000,105206508000,97907385000,87684066000,82050662000,73446799000
Enterprise Value over EBIT,232,147,120,119,120,117,104,111,195,176
Enterprise Value over EBITDA,57.703,51.266,50.026,55.6,59.963,57.616,54.514,55.182,68.148,63.098
Free Cash Flow,3688000000,3356000000,3235000000,3265000000,2803000000,2553000000,2560000000,2475000000,2204000000,1851932000
Free Cash Flow per Share,4.449,3.818,4.169,4.235,3.732,3.359,3.427,3.395,3.083,2.583
Foreign Currency to USD Exchange Rate,1,1,1,1,1,1,1,1,1,1
Gross Margin,0.752,0.75,0.748,0.743,0.74,0.741,0.741,0.741,0.737,0.734
Invested Capital,11567000000,11156000000,10124000000,9462000000,4517000000,5087000000,4336000000,3913000000,2807000000,1716384000
Invested Capital Average,10577250000,8814750000,7297500000,5850500000,4463250000,4035750000,3193096000,2455768000,1666127750,1507479750
Market Capitalization,161708970000,137241730000,119892000000,127484850000,116257050000,103849508000,100654385000,88504185000,82277193000,73551758000
Profit Margin,0.007,0.046,0.064,0.083,0.084,0.076,0.081,0.063,0.034,0.025
Price to Earnings (Damodaran Method),1283.405,186.47,126.202,110.091,104.736,108.857,105.287,125.895,228.548,299.078
Price to Earnings Ratio,1215.4,158.071,123.6,108.072,102.682,106.388,105.5,126.031,227.82,301
Price to Sales Ratio,8.839,8.679,8.14,9.098,8.593,8.315,8.643,7.911,7.727,7.328
Price to Sales (Damodaran Method),9.458,8.659,8.14,9.098,8.753,8.279,8.492,7.938,7.806,7.345
Price to Book Value,4.772,4.124,6.984,7.752,7.45,7.068,7.44,8.002,7.93,8.33
Return on Invested Capital,0.067,0.108,0.139,0.185,0.22,0.223,0.294,0.323,0.252,0.278
Sales per Share,20.625,18.032,18.981,18.175,17.686,16.505,15.867,15.294,14.741,13.967
Payout Ratio,0,0,0,0,0,0,0,0,0,0
Return on Average Assets,0.003,0.02,0.031,0.04,0.042,0.039,0.043,0.035,0.019,0.014
Return on Average Equity,0.005,0.036,0.059,0.077,0.081,0.077,0.087,0.073,0.04,0.03
Return on Sales,0.041,0.06,0.069,0.077,0.074,0.072,0.079,0.071,0.04,0.042
Tangible Asset Value,24689000000,19404000000,17809000000,17829000000,15268000000,11538000000,11448000000,14555000000,13697000000,9159359000
Tangible Asset Book Value per Share,29.782,22.075,22.95,23.125,20.33,15.182,15.325,19.966,19.157,12.775
Working Capital,1118000000,552000000,-292000000,-453000000,-572000000,-1152000000,-1667000000,2256000000,-483000000,-1270274000
