Reporting Period,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Asset Turnover,null,null,null,null,null,null,null,null,null,null
Average Assets,null,null,null,null,null,null,null,null,null,null
Book Value per Share,22.355,23.747,23.174,21.31,19.016,19.963,19.823,18.301,17.763,17.574
Current Ratio,0.53,0.408,0.344,0.337,0.337,0.341,0.37,0.397,0.386,0.412
Debt to Equity Ratio,3.804,3.202,3.196,3.479,3.79,3.403,3.014,3.34,3.307,3.283
Dividend Yield,0.055,0.026,0.025,0.025,0.026,0.026,0.022,0.025,0.02,0.018
EBITDA,-528000000,4052000000,2017000000,1982000000,1029000000,3741000000,1761000000,1465000000,824000000,3364000000
EBITDA [USD],-528000000,4052000000,2017000000,1982000000,1029000000,3741000000,1761000000,1465000000,824000000,3364000000
EBITDA Margin,-0.061,0.354,0.161,0.158,0.098,0.348,0.147,0.124,0.083,0.329
Earnings before Tax,-607000000,1398000000,1947000000,1907000000,946000000,1345000000,1688000000,1386000000,732000000,1043000000
Average Equity,null,null,null,null,null,null,null,null,null,null
Enterprise Value,32634881677,52326522102,51813555539,52772050070,50029772562,40909373180,46671690178,42002770276,45765921152,47256495784
Enterprise Value over EBIT,7,8,8,9,9,7,9,8,8,8
Enterprise Value over EBITDA,4.338,5.763,5.909,6.199,6.257,5.251,6.295,5.579,5.722,5.821
Free Cash Flow,-579000000,-115000000,1301000000,1712000000,582000000,-118000000,537000000,1320000000,107000000,731000000
Free Cash Flow per Share,-0.905,-0.178,2.001,2.614,0.857,-0.172,0.777,1.879,0.151,1.025
Foreign Currency to USD Exchange Rate,1,1,1,1,1,1,1,1,1,1
Gross Margin,0.544,0.612,0.618,0.618,0.589,0.585,0.596,0.606,0.598,0.617
Invested Capital,50578000000,43757000000,42911000000,41111000000,41511000000,42039000000,28913000000,28586000000,26631000000,27091000000
Invested Capital Average,null,null,null,null,null,null,null,null,null,null
Market Capitalization,18261881677,37821522102,37451555539,37171050070,35067772562,34212373180,39979690178,34800770276,38745921152,39926495784
Profit Margin,-0.062,0.096,0.119,0.115,0.07,0.095,0.111,0.088,0.056,0.029
Price to Earnings (Damodaran Method),5.215,7.934,7.991,8.235,8.539,8.694,12.443,11.41,12.108,12.458
Price to Earnings Ratio,5.274,7.989,8.079,8.42,8.594,8.77,12.437,11.415,12.234,12.584
Price to Sales Ratio,0.405,0.805,0.809,0.813,0.78,0.77,0.91,0.809,0.922,0.971
Price to Sales (Damodaran Method),0.405,0.805,0.809,0.813,0.78,0.77,0.91,0.809,0.922,0.971
Price to Book Value,1.276,2.463,2.486,2.663,2.716,2.5,2.917,2.707,3.086,3.186
Return on Invested Capital,null,null,null,null,null,null,null,null,null,null
Sales per Share,13.423,17.687,19.317,19.139,15.424,15.668,17.29,16.762,14.101,14.346
Payout Ratio,-0.48,0.236,0.174,0.158,0.318,0.235,0.181,0.205,0.386,0.693
Return on Average Assets,null,null,null,null,null,null,null,null,null,null
Return on Average Equity,null,null,null,null,null,null,null,null,null,null
Return on Sales,null,null,null,null,null,null,null,null,null,null
Tangible Asset Value,52966000000,49588000000,48617000000,47913000000,47233000000,45655000000,40374000000,41163000000,39441000000,39030000000
Tangible Asset Book Value per Share,82.747,76.673,74.772,73.15,69.568,66.589,58.4,58.597,55.793,54.743
Working Capital,-9117000000,-11955000000,-13267000000,-14030000000,-14127000000,-12238000000,-11432000000,-11628000000,-12288000000,-11155000000
