Reporting Period,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Asset Turnover,0.623,0.622,0.621,0.62,0.623,0.627,0.62,0.615,0.607,0.601
Average Assets,267364250000,260350750000,249571500000,239195000000,227822250000,218218750000,209344500000,201344000000,193096750000,184552000000
Book Value per Share,296.323,292.077,281.179,276.836,263.918,255.409,244.136,233.245,231.304,219.49
Current Ratio,3.658,3.374,3.782,3.985,3.959,3.919,4.144,4.152,4.874,5.14
Debt to Equity Ratio,0.342,0.37,0.349,0.338,0.337,0.311,0.304,0.306,0.287,0.294
Dividend Yield,0,0,0,0,0,0,0,0,0,0
EBITDA,51512000000,51406000000,49941000000,50831000000,42178000000,43948000000,41340000000,38642000000,38315000000,34108000000
EBITDA [USD],51512000000,51406000000,49941000000,50831000000,42178000000,43948000000,41340000000,38642000000,38315000000,34108000000
EBITDA Margin,0.309,0.318,0.322,0.343,0.297,0.321,0.318,0.312,0.327,0.308
Earnings before Tax,39236000000,39625000000,38993000000,40448000000,32516000000,34913000000,32859000000,30755000000,30917000000,27193000000
Average Equity,198065500000,193018750000,187065250000,180783000000,173235000000,167573250000,161291750000,158106750000,154678250000,150709250000
Enterprise Value,794862072276,921476472316,843311461119,744851202882,805468917588,717277149270,829571726233,776921517692,714374880264,725287543727
Enterprise Value over EBIT,20,23,22,18,25,21,25,25,23,27
Enterprise Value over EBITDA,15.431,17.925,16.886,14.653,19.097,16.321,20.067,20.106,18.645,21.264
Free Cash Flow,29022000000,30972000000,28469000000,27663000000,25821000000,22832000000,22806000000,21239000000,21199000000,23907000000
Free Cash Flow per Share,42.227,44.907,41.057,39.846,37.143,32.83,32.782,30.58,30.489,34.408
Foreign Currency to USD Exchange Rate,1,1,1,1,1,1,1,1,1,1
Gross Margin,0.551,0.556,0.556,0.558,0.563,0.565,0.57,0.574,0.58,0.589
Invested Capital,206488000000,204355000000,201720000000,196774000000,183557000000,165375000000,160437000000,150983000000,153514000000,146927000000
Invested Capital Average,202334250000,196601500000,186856500000,176535750000,165088000000,157577250000,152965250000,148509000000,142924000000,135450750000
Market Capitalization,798592072276,923760472316,846736461119,751727202882,818157917588,726734149270,839738726233,784277517692,721120880264,731904543727
Profit Margin,0.207,0.212,0.21,0.234,0.197,0.225,0.145,0.132,0.142,0.114
Price to Earnings (Damodaran Method),23.133,26.898,25.958,21.636,29.228,23.644,44.743,48.092,43.344,57.803
Price to Earnings Ratio,23.258,27.009,25.987,21.656,29.225,23.631,44.773,48.133,43.304,57.657
Price to Sales Ratio,4.791,5.707,5.461,5.069,5.761,5.312,6.466,6.33,6.15,6.602
Price to Sales (Damodaran Method),4.791,5.707,5.461,5.069,5.761,5.312,6.466,6.33,6.15,6.602
Price to Book Value,3.921,4.586,4.343,3.911,4.459,4.091,4.944,4.841,4.484,4.799
Return on Invested Capital,0.194,0.202,0.209,0.229,0.197,0.222,0.215,0.207,0.216,0.201
Sales per Share,242.515,234.682,223.62,213.612,204.279,196.73,186.676,178.386,168.634,159.549
Payout Ratio,0,0,0,0,0,0,0,0,0,0
Return on Average Assets,0.129,0.132,0.131,0.145,0.123,0.141,0.09,0.081,0.086,0.069
Return on Average Equity,0.174,0.178,0.174,0.192,0.162,0.183,0.116,0.103,0.108,0.084
Return on Sales,0.235,0.245,0.251,0.273,0.229,0.255,0.253,0.248,0.264,0.245
Tangible Asset Value,250829000000,253306000000,243228000000,237199000000,225343000000,212684000000,201195000000,191053000000,186264000000,177856000000
Tangible Asset Book Value per Share,364.956,367.277,350.777,341.665,324.148,305.815,289.207,275.075,267.891,255.981
Working Capital,106829000000,107357000000,109134000000,110437000000,103297000000,101056000000,98401000000,94254000000,98367000000,100125000000
