Reporting Period,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Asset Turnover,0.502,0.525,0.552,0.587,0.632,0.647,0.65,0.654,0.65,0.653
Average Assets,152465250000,146846000000,139645000000,132737500000,124480000000,123069750000,123563250000,123474750000,123193000000,121245500000
Book Value per Share,22.521,23.49,20.266,19.909,18.526,18.416,21.712,20.238,19.731,18.861
Current Ratio,0.957,1.019,1.087,1.83,1.356,1.286,1.311,1.32,1.375,1.331
Debt to Equity Ratio,6.664,6.295,7.325,7.757,6.936,6.338,5.159,5.56,5.89,6.117
Dividend Yield,0.058,0.048,0.044,0.046,0.045,0.055,0.041,0.043,0.039,0.038
EBITDA,15938000000,17565000000,17304000000,18009000000,17666000000,16550000000,16592000000,16674000000,16314000000,16551000000
EBITDA [USD],15938000000,17565000000,17304000000,18009000000,17666000000,16550000000,16592000000,16674000000,16314000000,16551000000
EBITDA Margin,0.208,0.228,0.224,0.231,0.224,0.208,0.206,0.206,0.204,0.209
Earnings before Tax,8231000000,10162000000,10600000000,12077000000,12087000000,11347000000,11382000000,11449000000,11114000000,11395000000
Average Equity,19110250000,18230750000,17219500000,17676500000,17895250000,18316500000,18516000000,18476750000,18451500000,18491750000
Enterprise Value,158396101991,179979844334,161593965913,159877052187,159768128722,138492588632,172556677859,162365172348,176186789976,176745913213
Enterprise Value over EBIT,16,16,14,12,12,11,14,13,15,15
Enterprise Value over EBITDA,9.938,10.247,9.339,8.878,9.044,8.368,10.4,9.738,10.8,10.679
Free Cash Flow,11994000000,12400000000,12835000000,13187000000,11967000000,11531000000,13056000000,12557000000,13984000000,13411000000
Free Cash Flow per Share,13.507,13.976,14.486,14.879,13.452,12.643,14.328,13.722,15.188,14.377
Foreign Currency to USD Exchange Rate,1,1,1,1,1,1,1,1,1,1
Gross Margin,0.475,0.473,0.468,0.469,0.467,0.464,0.464,0.464,0.465,0.467
Invested Capital,98630000000,100873000000,102259000000,107059000000,90427000000,80011000000,80698000000,80891000000,83424000000,82053000000
Invested Capital Average,102205250000,100154500000,94939000000,89548750000,83006750000,81256000000,81766500000,82563750000,81793500000,79176500000
Market Capitalization,98551101991,118710844334,128823965913,122268052187,125560128722,103302588632,138019677859,128240172348,141334789976,142034913213
Profit Margin,0.118,0.122,0.1,0.112,0.11,0.11,0.071,0.071,0.071,0.073
Price to Earnings (Damodaran Method),10.932,12.587,16.704,13.999,14.532,11.836,24.117,22.283,24.874,24.689
Price to Earnings Ratio,10.908,12.61,16.773,14.173,14.79,11.878,24.04,22.281,25.029,24.865
Price to Sales Ratio,1.287,1.542,1.67,1.57,1.595,1.303,1.714,1.583,1.765,1.808
Price to Sales (Damodaran Method),1.288,1.539,1.67,1.57,1.595,1.298,1.717,1.588,1.765,1.795
Price to Book Value,4.928,5.696,7.174,6.929,7.618,6.15,6.976,6.924,7.78,8.073
Return on Invested Capital,0.095,0.115,0.124,0.145,0.155,0.149,0.148,0.147,0.144,0.152
Sales per Share,86.19,86.952,87.056,87.848,88.469,87.266,88.206,88.264,86.951,84.838
Payout Ratio,0.637,0.605,0.736,0.651,0.658,0.649,0.976,0.968,0.979,0.956
Return on Average Assets,0.059,0.064,0.055,0.066,0.069,0.071,0.046,0.047,0.046,0.047
Return on Average Equity,0.472,0.517,0.448,0.494,0.483,0.477,0.309,0.311,0.308,0.311
Return on Sales,0.127,0.149,0.153,0.167,0.163,0.152,0.15,0.15,0.147,0.152
Tangible Asset Value,81220000000,78729000000,76056000000,116640000000,91689000000,84030000000,82330000000,81796000000,85032000000,84826000000
Tangible Asset Book Value per Share,91.464,88.735,85.842,131.603,103.068,92.133,90.353,89.385,92.356,90.934
Working Capital,-1742000000,719000000,3055000000,35166000000,13834000000,10919000000,11435000000,11353000000,13389000000,12372000000
