Reporting Period,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Asset Turnover,0.041,0.042,0.042,0.042,0.042,0.042,0.042,0.041,0.04,0.039
Average Assets,2829712500000,2729151750000,2712940000000,2675570500000,2641238250000,2609387500000,2587154500000,2574127250000,2567408250000,2551534500000
Book Value per Share,84.392,81.121,82.647,80.974,78.786,75.526,76.703,75.386,74.083,71.994
Current Ratio,null,null,null,null,null,null,null,null,null,null
Debt to Equity Ratio,11.016,9.283,9.458,9.362,9.534,9.224,9.099,9.06,9.186,8.909
Dividend Yield,0.038,0.024,0.027,0.026,0.027,0.025,0.02,0.021,0.019,0.019
EBITDA,43158000000,51124000000,49341000000,48514000000,47649000000,46790000000,45732000000,44148000000,42864000000,40205000000
EBITDA [USD],43158000000,51124000000,49341000000,48514000000,47649000000,46790000000,45732000000,44148000000,42864000000,40205000000
EBITDA Margin,0.376,0.442,0.435,0.436,0.432,0.429,0.426,0.418,0.413,0.399
Earnings before Tax,34631000000,42756000000,41037000000,40363000000,39617000000,38999000000,38384000000,37213000000,36352000000,34026000000
Average Equity,262538750000,262182500000,260978750000,259630750000,258191500000,257282500000,257077000000,256933500000,257189750000,257105250000
Enterprise Value,529212114738,773759998406,658716008355,644947178158,586285489923,421896594974,486387162634,456172755272,442089475255,425190453204
Enterprise Value over EBIT,15,18,16,16,15,11,13,12,12,12
Enterprise Value over EBITDA,12.262,15.135,13.35,13.294,12.304,9.017,10.636,10.333,10.314,10.576
Free Cash Flow,-33846000000,6046000000,-76617000000,-81123000000,-31584000000,14187000000,26319000000,8235000000,-23377000000,-10827000000
Free Cash Flow per Share,-10.933,1.877,-23.954,-24.956,-9.577,4.177,7.796,2.411,-6.76,-3.048
Foreign Currency to USD Exchange Rate,1,1,1,1,1,1,1,1,1,1
Gross Margin,1,1,1,1,1,1,1,1,1,1
Invested Capital,3304490000000,2886500000000,3048117000000,2956481000000,2965291000000,2823017000000,2657756000000,2642660000000,2656647000000,2542702000000
Invested Capital Average,3048897000000,2964097250000,2948226500000,2850636250000,2772181000000,2695020000000,2624941250000,2602776000000,2586516750000,2559808500000
Market Capitalization,276750114738,437225998406,376312008355,362676178158,331451489923,324626594974,379242162634,354777755272,377412475255,371052453204
Profit Margin,0.247,0.3,0.293,0.292,0.283,0.282,0.259,0.248,0.24,0.224
Price to Earnings (Damodaran Method),9.772,12.621,11.337,11.147,10.616,10.571,13.619,13.561,15.196,16.442
Price to Earnings Ratio,10.127,12.967,11.572,11.373,10.873,10.799,13.879,13.801,15.554,16.841
Price to Sales Ratio,2.429,3.884,3.319,3.264,3.028,3.041,3.548,3.367,3.668,3.771
Price to Sales (Damodaran Method),2.412,3.781,3.318,3.258,3.006,2.977,3.532,3.357,3.64,3.685
Price to Book Value,1.059,1.673,1.424,1.378,1.276,1.266,1.465,1.378,1.473,1.451
Return on Invested Capital,0.011,0.014,0.014,0.014,0.014,0.014,0.015,0.014,0.014,0.013
Sales per Share,37.068,35.892,35.456,34.247,33.428,32.101,31.805,30.948,29.978,28.355
Payout Ratio,0.382,0.307,0.315,0.301,0.292,0.274,0.276,0.289,0.3,0.321
Return on Average Assets,0.01,0.013,0.012,0.012,0.012,0.012,0.011,0.01,0.01,0.009
Return on Average Equity,0.108,0.132,0.127,0.125,0.121,0.119,0.108,0.102,0.097,0.088
Return on Sales,0.302,0.37,0.362,0.363,0.359,0.358,0.357,0.352,0.351,0.338
Tangible Asset Value,3087564000000,2634038000000,2711583000000,2674077000000,2683020000000,2568183000000,2560486000000,2535515000000,2555252000000,2479208000000
Tangible Asset Book Value per Share,997.34,817.643,847.767,822.641,813.529,756.149,758.415,742.421,738.875,698.054
Working Capital,null,null,null,null,null,null,null,null,null,null
