Reporting Period,3/31/2020,12/31/2019,9/30/2019,6/30/2019,3/31/2019,12/31/2018,9/30/2018,6/30/2018,3/31/2018,12/31/2017
Asset Turnover,null,null,null,null,null,null,null,null,null,null
Average Assets,null,null,null,null,null,null,null,null,null,null
Book Value per Share,17.621,18.682,18.632,18.339,17.77,17.658,17.844,17.296,16.387,16.368
Current Ratio,0.686,0.667,0.655,0.645,0.629,0.636,0.714,0.701,0.67,0.702
Debt to Equity Ratio,1.963,1.634,1.665,1.653,1.702,1.663,1.648,1.647,1.651,1.605
Dividend Yield,0.02,0.013,0.013,0.013,0.012,0.013,0.009,0.011,0.009,0.007
EBITDA,195000000,1007000000,1157000000,1301000000,832000000,1180000000,1120000000,1285000000,911000000,1044000000
EBITDA [USD],195000000,1007000000,1157000000,1301000000,832000000,1180000000,1120000000,1285000000,911000000,1044000000
EBITDA Margin,0.046,0.176,0.205,0.22,0.162,0.207,0.201,0.224,0.184,0.199
Earnings before Tax,-144000000,666000000,819000000,968000000,504000000,817000000,786000000,960000000,602000000,735000000
Average Equity,null,null,null,null,null,null,null,null,null,null
Enterprise Value,19868894179,30301385282,31110295330,29916834505,30213078152,27478010396,37191048416,31270388241,35850831733,40456222347
Enterprise Value over EBIT,8,10,10,9,9,8,12,10,10,12
Enterprise Value over EBITDA,5.429,7.057,6.96,6.749,6.84,6.112,8.53,7.104,7.747,8.801
Free Cash Flow,-601000000,563000000,716000000,736000000,945000000,451000000,817000000,1110000000,593000000,43000000
Free Cash Flow per Share,-1.167,1.07,1.343,1.358,1.715,0.808,1.436,1.92,1.01,0.073
Foreign Currency to USD Exchange Rate,1,1,1,1,1,1,1,1,1,1
Gross Margin,0.65,0.697,0.69,0.695,0.681,0.683,0.673,0.683,0.675,0.691
Invested Capital,18083000000,17421000000,18761000000,18872000000,19106000000,18891000000,19411000000,19185000000,19141000000,19450000000
Invested Capital Average,null,null,null,null,null,null,null,null,null,null
Market Capitalization,18420894179,28408385282,29031295330,27576834505,28690078152,26136010396,35785048416,29500388241,33677831733,38837222347
Profit Margin,-0.022,0.09,0.117,0.125,0.075,0.115,0.11,0.128,0.094,0.332
Price to Earnings (Damodaran Method),10.127,12.351,11.893,11.505,12.009,10.603,10.058,8.499,9.675,11.569
Price to Earnings Ratio,10.443,12.612,12.056,11.755,12.301,10.809,10.305,8.683,9.842,11.729
Price to Sales Ratio,0.853,1.267,1.285,1.232,1.29,1.213,1.651,1.384,1.583,1.86
Price to Sales (Damodaran Method),0.856,1.267,1.296,1.235,1.294,1.19,1.663,1.388,1.586,1.837
Price to Book Value,2.03,2.889,2.923,2.774,2.93,2.653,3.525,2.951,3.501,4.028
Return on Invested Capital,null,null,null,null,null,null,null,null,null,null
Sales per Share,8.221,10.888,10.58,10.902,9.345,10.222,9.798,9.934,8.422,8.927
Payout Ratio,-1,0.184,0.145,0.131,0.229,0.137,0.148,0.126,0.158,0.043
Return on Average Assets,null,null,null,null,null,null,null,null,null,null
Return on Average Equity,null,null,null,null,null,null,null,null,null,null
Return on Sales,null,null,null,null,null,null,null,null,null,null
Tangible Asset Value,25915000000,24925000000,25497000000,25404000000,25489000000,25273000000,25912000000,25495000000,24533000000,24140000000
Tangible Asset Book Value per Share,50.32,47.361,47.837,46.871,46.26,45.292,45.54,44.109,41.794,40.985
Working Capital,-3213000000,-2978000000,-2979000000,-3057000000,-3240000000,-2877000000,-2242000000,-2308000000,-2361000000,-2048000000
