Date, Close/Last, Volume, Open, High, Low
05/22/2020, $28.87, 17558230, $29.76, $29.98, $28.31
05/21/2020, $29.6, 22166520, $29.31, $30.12, $29.02
05/20/2020, $29.15, 27248980, $28.47, $29.33, $28.1724
05/19/2020, $27.69, 35768210, $28.5, $28.85, $26.9301
05/18/2020, $27.09, 27200460, $25.75, $27.24, $25.55
05/15/2020, $23.87, 18679790, $24.37, $24.87, $23.75
05/14/2020, $24.78, 23187180, $23.38, $24.81, $22.465
05/13/2020, $24, 22892450, $25.02, $25.1, $23.52
05/12/2020, $25.24, 16904410, $26.19, $26.62, $25.14
05/11/2020, $26.09, 20841480, $26.62, $26.86, $25.78
05/08/2020, $27.2, 19156090, $26.04, $27.23, $25.91
05/07/2020, $25.45, 24535910, $24.99, $26.27, $24.95
05/06/2020, $24.93, 36971840, $26.55, $26.74, $24.77
05/05/2020, $26.42, 36676880, $28.07, $28.13, $26.175
05/04/2020, $27.56, 43447680, $27.23, $27.94, $26.5
05/01/2020, $29.23, 36353790, $30.5, $30.955, $28.75
04/30/2020, $31.25, 62444660, $30.71, $31.69, $30.18
04/29/2020, $30.97, 101007800, $29.49, $31.795, $29.43
04/28/2020, $29.69, 54153870, $29.12, $30.48, $28.25
04/27/2020, $29.11, 14224470, $29.79, $29.91, $28.85
04/24/2020, $29.33, 15157120, $30.2, $30.43, $28.8
04/23/2020, $30.14, 11631590, $29.81, $30.775, $29.59
04/22/2020, $29.71, 15697220, $30.63, $30.81, $28.8
04/21/2020, $30.11, 12562700, $30.05, $31.23, $29.6
04/20/2020, $31.06, 14553900, $30.64, $31.48, $29.51
04/17/2020, $31.19, 20139900, $32.5, $32.95, $30.9
04/16/2020, $30.68, 17862320, $32.12, $32.35, $30.2
04/15/2020, $32.82, 20028660, $35.15, $35.26, $32.52
04/14/2020, $34.78, 8860162, $35.17, $36.05, $34.71
04/13/2020, $34.26, 9067547, $36.72, $36.72, $33.75
04/09/2020, $36.47, 10383690, $36.3, $37.31, $35.13
04/08/2020, $34.3, 8923805, $33.56, $34.78, $32.63
04/07/2020, $32.77, 14036120, $33.84, $35.43, $32.32
04/06/2020, $30.7, 13832960, $31.79, $31.96, $30
04/03/2020, $30.54, 9915912, $31.33, $31.88, $29.73
04/02/2020, $31.5, 7853467, $32.11, $32.84, $30.87
04/01/2020, $32.04, 8545871, $34.05, $34.2, $31.81
03/31/2020, $35.61, 7801069, $35.27, $37.47, $34.95
03/30/2020, $35.1, 7443313, $35.52, $37.15, $34.5
03/27/2020, $36.38, 8297372, $39.84, $40.135, $36.1
03/26/2020, $41.23, 8990799, $40.9, $43.56, $40.06
03/25/2020, $39.4, 16346740, $41.52, $41.7262, $37.31
03/24/2020, $37.66, 12803070, $38.2, $39.13, $36.05
03/23/2020, $33.73, 9616821, $31.69, $34.49, $30.25
03/20/2020, $31.94, 12617850, $32.06, $33.95, $29.65
03/19/2020, $30.86, 18052640, $34.65, $35.05, $30.5
03/18/2020, $35.15, 14219630, $35.78, $36.42, $29.15
03/17/2020, $38.25, 8133512, $38.21, $40.69, $36
03/16/2020, $37.52, 15849920, $36.5, $39.45, $35.85
03/13/2020, $41.28, 14308770, $39.19, $41.28, $36.31
03/12/2020, $36.07, 16353390, $39.33, $40.6, $35.6101
03/11/2020, $42.49, 10512430, $43.99, $44.38, $41.63
03/10/2020, $45.56, 9366888, $45.28, $45.85, $42.51
03/09/2020, $43.62, 9602323, $42.89, $45.61, $42.72
03/06/2020, $45.73, 10708130, $43.56, $46.8, $42.72
03/05/2020, $45.25, 10774800, $45.06, $45.7, $44.18
03/04/2020, $46.93, 8990316, $45.89, $47.065, $44.855
03/03/2020, $45.21, 7338136, $47.54, $48.3934, $45.05
03/02/2020, $46.95, 9043193, $46.54, $47.18, $44.34
02/28/2020, $46.19, 11854050, $45.07, $46.77, $44.98
02/27/2020, $46.63, 10355850, $47.15, $49.2057, $45.64
02/26/2020, $48.9, 9289924, $50.09, $50.48, $48.08
02/25/2020, $49.66, 9351708, $54.41, $54.5, $49.55
02/24/2020, $54.11, 7538409, $54.87, $54.99, $53.3529
02/21/2020, $56.53, 2324591, $56.53, $56.8, $55.46
02/20/2020, $56.94, 2924965, $57.04, $57.51, $56.71
02/19/2020, $57.11, 2135139, $57.68, $57.74, $57.06
02/18/2020, $57.6, 3086560, $58, $58.34, $57.38
02/14/2020, $57.97, 2481776, $58.68, $58.83, $57.89
