Reporting Period,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Asset Turnover,0.615,0.653,0.657,0.651,0.648,0.639,0.642,0.637,0.628,0.62
Average Assets,27649000000,25867000000,24773000000,24112750000,23547750000,23403750000,22521000000,21914500000,21256500000,20163000000
Book Value per Share,5.371,5.794,4.885,4.91,5.037,5.183,5.569,5.04,5.426,5.125
Current Ratio,1.866,1.42,1.386,1.492,1.405,1.395,1.552,1.513,1.644,1.569
Debt to Equity Ratio,4.659,3.945,4.23,3.918,3.533,3.591,3.026,3.257,3.006,2.882
Dividend Yield,0.006,0.004,0.005,0.004,0.005,0.005,0.004,0.005,0.005,0.006
EBITDA,10311000000,10477000000,9167000000,8856000000,8249000000,7849000000,8115000000,7777000000,7470000000,7113000000
EBITDA [USD],10311000000,10477000000,9167000000,8856000000,8249000000,7849000000,8115000000,7777000000,7470000000,7113000000
EBITDA Margin,0.606,0.621,0.563,0.564,0.541,0.525,0.561,0.557,0.56,0.569
Earnings before Tax,9515000000,9731000000,8471000000,8201000000,7604000000,7204000000,7473000000,7141000000,6847000000,6522000000
Average Equity,5312000000,5254500000,5130000000,5336500000,5398750000,5532500000,5550750000,5717500000,5866250000,5843250000
Enterprise Value,242963121344,302697610093,276577914453,269621228680,240122285352,193289659976,229825901898,203775188191,182566585390,159047328096
Enterprise Value over EBIT,25,30,32,32,31,26,30,28,26,24
Enterprise Value over EBITDA,23.563,28.892,30.171,30.445,29.109,24.626,28.321,26.202,24.44,22.36
Free Cash Flow,7935000000,7455000000,5869000000,5970000000,5980000000,5719000000,6211000000,5630000000,5517000000,5241000000
Free Cash Flow per Share,7.896,7.33,5.794,5.853,5.828,5.494,5.989,5.398,5.249,4.912
Foreign Currency to USD Exchange Rate,1,1,1,1,1,1,1,1,1,1
Gross Margin,1,1,1,1,1,1,1,1,1,1
Invested Capital,16160000000,12063000000,11694000000,11532000000,8703000000,7944000000,8111000000,7655000000,8388000000,6787000000
Invested Capital Average,12862250000,10998000000,9968250000,9072500000,8103250000,8024500000,7735250000,7601500000,7569500000,7278500000
Market Capitalization,242794121344,301236610093,275523914453,270223228680,241550285352,194836659976,231169901898,205161188191,184160585390,160239328096
Profit Margin,0.468,0.481,0.425,0.427,0.408,0.392,0.359,0.338,0.324,0.313
Price to Earnings (Damodaran Method),30.544,37.107,39.833,40.284,38.778,33.254,44.567,43.485,42.571,40.93
Price to Earnings Ratio,30.772,37.417,40.055,40.51,39.111,33.508,44.791,43.866,42.931,41.243
Price to Sales Ratio,14.278,17.986,16.902,17.178,15.831,13.136,15.97,14.688,13.797,12.923
Price to Sales (Damodaran Method),14.279,17.843,16.928,17.204,15.83,13.033,15.992,14.702,13.802,12.822
Price to Book Value,44.979,51.118,55.673,53.958,46.74,36.114,40.029,39.026,32.292,29.305
Return on Invested Capital,0.759,0.905,0.871,0.925,0.962,0.921,0.989,0.961,0.925,0.917
Sales per Share,16.918,16.601,16.067,15.399,14.872,14.361,13.939,13.38,12.696,11.712
Payout Ratio,0.177,0.165,0.183,0.178,0.179,0.178,0.195,0.21,0.223,0.24
Return on Average Assets,0.287,0.314,0.279,0.278,0.265,0.25,0.23,0.215,0.204,0.194
Return on Average Equity,1.496,1.545,1.348,1.257,1.154,1.059,0.934,0.825,0.737,0.67
Return on Sales,0.574,0.59,0.533,0.534,0.511,0.494,0.529,0.524,0.525,0.534
Tangible Asset Value,25131000000,23798000000,20947000000,19975000000,19551000000,20965000000,19367000000,18454000000,18722000000,17174000000
Tangible Asset Book Value per Share,25.006,23.4,20.678,19.583,19.056,20.139,18.676,17.693,17.814,16.096
Working Capital,8411000000,4998000000,4133000000,4668000000,4150000000,4578000000,5355000000,4850000000,5759000000,5004000000
