Reporting Period,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Asset Turnover,0.489,0.483,0.477,0.472,0.471,0.464,0.452,0.437,0.423,0.417
Average Assets,283438500000,277896500000,271912750000,266578750000,259651750000,255205750000,254491750000,252361250000,250227250000,245107250000
Book Value per Share,15.062,14.448,13.893,13.336,12.365,11.977,11.204,10.743,10.293,10.163
Current Ratio,2.904,2.801,2.854,2.529,2.969,3.118,2.918,2.901,3.396,2.885
Debt to Equity Ratio,1.493,1.568,1.63,1.8,1.775,1.81,1.997,2.129,2.098,2.267
Dividend Yield,0.012,0.012,0.013,0.013,0.015,0.017,0.015,0.017,0.018,0.019
EBITDA,64426000000,61877000000,57969000000,55370000000,53046000000,50985000000,49310000000,46735000000,43840000000,42036000000
EBITDA [USD],64426000000,61877000000,57969000000,55370000000,53046000000,50985000000,49310000000,46735000000,43840000000,42036000000
EBITDA Margin,0.465,0.461,0.447,0.44,0.434,0.43,0.429,0.423,0.414,0.411
Earnings before Tax,52210000000,49853000000,46153000000,43688000000,41772000000,39927000000,38711000000,36474000000,33752000000,32205000000
Average Equity,108250250000,103341000000,98845750000,93822250000,88919250000,85013000000,81571000000,82491000000,83739250000,81361750000
Enterprise Value,1142076673950,1142580645960,1006097968880,973965088560,856050853821,725675537016,825054014431,708278105771,654880093602,612678045280
Enterprise Value over EBIT,22,23,22,22,20,18,21,19,19,19
Enterprise Value over EBITDA,17.727,18.465,17.356,17.59,16.138,14.233,16.732,15.155,14.938,14.575
Free Cash Flow,43362000000,40580000000,38638000000,38260000000,33641000000,31903000000,31999000000,32252000000,33536000000,33284000000
Free Cash Flow per Share,5.704,5.325,5.061,4.986,4.385,4.148,4.17,4.189,4.356,4.317
Foreign Currency to USD Exchange Rate,1,1,1,1,1,1,1,1,1,1
Gross Margin,0.682,0.677,0.666,0.659,0.654,0.651,0.652,0.652,0.65,0.649
Invested Capital,114055000000,116307000000,110734000000,111907000000,106910000000,109672000000,103910000000,104664000000,105876000000,105635000000
Invested Capital Average,113250750000,111464500000,109805750000,108099750000,106289000000,106030500000,105021250000,105360500000,106175500000,101153250000
Market Capitalization,1199549673950,1203062645960,1061550968880,1026511088560,904860853821,779673537016,877014014431,757640105771,702760093602,659906045280
Profit Margin,0.334,0.33,0.317,0.312,0.286,0.283,0.164,0.15,0.149,0.135
Price to Earnings (Damodaran Method),25.927,27.143,25.832,26.16,25.908,23.245,46.603,45.721,44.572,47.719
Price to Earnings Ratio,26.025,27.19,25.938,26.215,25.978,23.349,46.873,45.865,44.961,48.056
Price to Sales Ratio,8.644,8.952,8.176,8.168,7.404,6.595,7.637,6.88,6.636,6.449
Price to Sales (Damodaran Method),8.649,8.961,8.177,8.157,7.404,6.582,7.632,6.865,6.637,6.452
Price to Book Value,10.476,10.926,10.009,10.031,9.539,8.463,10.202,9.159,8.869,8.421
Return on Invested Capital,0.461,0.447,0.42,0.404,0.393,0.377,0.369,0.346,0.318,0.318
Sales per Share,18.245,17.616,17.005,16.401,15.929,15.4,14.975,14.332,13.754,13.265
Payout Ratio,0.32,0.326,0.343,0.352,0.388,0.395,0.689,0.767,0.798,0.893
Return on Average Assets,0.163,0.159,0.151,0.147,0.135,0.131,0.074,0.066,0.063,0.056
Return on Average Equity,0.427,0.429,0.416,0.418,0.393,0.395,0.231,0.201,0.188,0.17
Return on Sales,0.376,0.371,0.356,0.347,0.342,0.337,0.337,0.331,0.319,0.315
Tangible Asset Value,236530000000,233420000000,229334000000,236780000000,213317000000,208800000000,214185000000,215112000000,201371000000,211614000000
Tangible Asset Book Value per Share,31.114,30.629,30.041,30.859,27.805,27.145,27.914,27.937,26.159,27.447
Working Capital,111798000000,107434000000,107778000000,106132000000,106026000000,106556000000,107918000000,111174000000,110526000000,109534000000
