Reporting Period,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Asset Turnover,0.612,0.602,0.58,0.565,0.557,0.552,0.548,0.543,0.537,0.539
Average Assets,114859000000,115637250000,118628250000,119723750000,120527500000,121201500000,121940750000,123043500000,123567500000,121998000000
Book Value per Share,17.58,17.455,17.747,18.968,21.061,20.756,20.1,21.03,20.769,20.498
Current Ratio,0.825,0.627,0.725,0.749,0.786,0.782,0.799,0.826,0.91,0.943
Debt to Equity Ratio,1.581,1.434,1.428,1.419,1.19,1.272,1.256,1.237,1.263,1.314
Dividend Yield,0.027,0.024,0.024,0.026,0.028,0.031,0.034,0.036,0.035,0.03
EBITDA,10652000000,10384000000,9783000000,9333000000,16647000000,16631000000,16714000000,16555000000,17155000000,17145000000
EBITDA [USD],10652000000,10384000000,9783000000,9333000000,16647000000,16631000000,16714000000,16555000000,17155000000,17145000000
EBITDA Margin,0.151,0.149,0.142,0.138,0.248,0.249,0.25,0.248,0.258,0.261
Earnings before Tax,7214000000,7003000000,6391000000,6000000000,13359000000,13336000000,13409000000,13215000000,13865000000,13943000000
Average Equity,46603000000,49005750000,51139500000,52519500000,53845500000,53694000000,53763500000,54491250000,55215000000,55115500000
Enterprise Value,293498817240,331686124795,337084057506,302570358623,290220368721,257752253602,235794187990,226262635097,230166173812,262285708390
Enterprise Value over EBIT,38,45,49,46,21,19,17,16,16,18
Enterprise Value over EBITDA,27.553,31.942,34.456,32.419,17.434,15.498,14.108,13.667,13.417,15.298
Free Cash Flow,13519000000,12951000000,12498000000,11895000000,11850000000,11528000000,11138000000,11150000000,10392000000,10188000000
Free Cash Flow per Share,5.173,4.924,4.721,4.742,4.493,4.395,4.264,4.434,3.928,3.816
Foreign Currency to USD Exchange Rate,1,1,1,1,1,1,1,1,1,1
Gross Margin,0.499,0.498,0.491,0.486,0.48,0.479,0.482,0.485,0.492,0.495
Invested Capital,66665000000,63420000000,40407000000,70664000000,48246000000,49492000000,48818000000,49713000000,53327000000,53990000000
Invested Capital Average,60289000000,55684250000,52202250000,54305000000,49067250000,50337500000,51462000000,52224000000,51629000000,49740000000
Market Capitalization,271639817240,311477124795,311231057506,275038358623,260289368721,229010253602,207077187990,196289635097,199865173812,233095708390
Profit Margin,0.071,0.069,0.062,0.058,0.164,0.161,0.151,0.146,0.152,0.153
Price to Earnings (Damodaran Method),54.481,64.702,72.531,70.577,23.6,21.214,20.511,20.132,19.84,23.113
Price to Earnings Ratio,57.895,68.626,77.737,75.621,24.142,21.834,21.232,20.816,20.486,23.803
Price to Sales Ratio,4.086,4.72,4.787,4.064,4.091,3.603,3.251,2.937,3.158,3.732
Price to Sales (Damodaran Method),3.861,4.476,4.524,4.064,3.88,3.423,3.097,2.937,3.01,3.546
Price to Book Value,5.913,6.785,6.624,5.781,4.686,4.206,3.944,3.712,3.637,4.26
Return on Invested Capital,0.127,0.134,0.132,0.12,0.283,0.276,0.271,0.263,0.278,0.289
Sales per Share,26.918,26.461,25.984,26.984,25.436,25.51,25.6,26.578,25.101,24.622
Payout Ratio,1.571,1.624,1.829,1.998,0.666,0.675,0.718,0.743,0.713,0.71
Return on Average Assets,0.043,0.042,0.036,0.033,0.092,0.089,0.083,0.079,0.082,0.083
Return on Average Equity,0.107,0.098,0.084,0.074,0.205,0.201,0.188,0.179,0.182,0.183
Return on Sales,0.109,0.107,0.1,0.096,0.207,0.207,0.208,0.205,0.216,0.219
Tangible Asset Value,78943000000,71725000000,50451000000,74822000000,49084000000,50808000000,49296000000,49233000000,54065000000,56796000000
Tangible Asset Book Value per Share,30.208,27.271,19.056,29.829,18.609,19.37,18.872,19.579,20.436,21.275
Working Capital,-5756000000,-11247000000,-8328000000,-7538000000,-6058000000,-6816000000,-5874000000,-4917000000,-2751000000,-1893000000
