Reporting Period,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Asset Turnover,0.327,0.33,0.335,0.34,0.33,0.334,0.336,0.339,0.363,0.373
Average Assets,548183250000,548940750000,543989500000,540508000000,537452250000,511942000000,490000250000,467249000000,438775000000,430165000000
Book Value per Share,24.736,25.218,24.983,25.161,25.313,25.294,25.24,28.811,23.684,22.945
Current Ratio,0.756,0.795,0.744,0.711,0.719,0.798,0.812,0.806,1.112,0.972
Debt to Equity Ratio,1.968,1.898,1.936,1.915,1.909,1.836,1.903,1.916,2.051,2.145
Dividend Yield,0.07,0.052,0.054,0.06,0.064,0.07,0.059,0.062,0.055,0.05
EBITDA,54721000000,54035000000,57674000000,60331000000,61334000000,60677000000,51815000000,48097000000,46545000000,45429000000
EBITDA [USD],54721000000,54035000000,57674000000,60331000000,61334000000,60677000000,51815000000,48097000000,46545000000,45429000000
EBITDA Margin,0.305,0.298,0.316,0.329,0.345,0.355,0.315,0.304,0.292,0.283
Earnings before Tax,18189000000,17396000000,20041000000,21513000000,23365000000,24290000000,17435000000,16206000000,15513000000,14742000000
Average Equity,182326500000,184159750000,184126750000,184326500000,184007250000,174209250000,163402250000,148680250000,134116500000,128596750000
Enterprise Value,381910570640,466355400000,459203880000,431772980000,399745738731,382475120000,420501960000,311361510000,332793640969,353464320000
Enterprise Value over EBIT,14,18,16,14,13,12,17,13,15,17
Enterprise Value over EBITDA,6.979,8.631,7.962,7.157,6.518,6.303,8.115,6.474,7.15,7.781
Free Cash Flow,27230000000,29233000000,29059000000,29421000000,25785000000,22844000000,19473000000,18660000000,17172000000,17363000000
Free Cash Flow per Share,3.789,4.002,3.966,4.018,3.526,3.139,2.673,2.938,2.787,2.828
Foreign Currency to USD Exchange Rate,1,1,1,1,1,1,1,1,1,1
Gross Margin,0.538,0.536,0.535,0.535,0.537,0.535,0.525,0.517,0.512,0.515
Invested Capital,366424000000,367066000000,373499000000,372086000000,378564000000,345617000000,348597000000,348093000000,270820000000,256831000000
Invested Capital Average,369768750000,372803750000,367441500000,361216000000,355217750000,328281750000,306085250000,291402250000,271633250000,268355000000
Market Capitalization,209089570640,285479400000,276496880000,244555980000,228444738731,207714120000,243857960000,197187510000,218945640969,238684320000
Profit Margin,0.08,0.077,0.09,0.095,0.106,0.113,0.204,0.201,0.192,0.183
Price to Earnings (Damodaran Method),14.538,20.538,16.894,14.067,12.149,10.723,7.269,6.189,7.145,8.105
Price to Earnings Ratio,14.797,20.568,16.969,14.08,11.701,10.014,6.348,6.259,7.202,8.151
Price to Sales Ratio,1.169,1.576,1.52,1.337,1.292,1.216,1.487,1.288,1.379,1.487
Price to Sales (Damodaran Method),1.167,1.576,1.516,1.333,1.287,1.216,1.483,1.245,1.375,1.487
Price to Book Value,1.176,1.55,1.511,1.327,1.234,1.128,1.326,1.078,1.5,1.694
Return on Invested Capital,0.072,0.069,0.078,0.083,0.089,0.098,0.082,0.081,0.082,0.078
Sales per Share,24.926,24.804,24.889,25.06,24.278,23.462,22.575,24.936,25.843,26.152
Payout Ratio,1.041,1.074,0.91,0.849,0.75,0.702,0.376,0.386,0.398,0.411
Return on Average Assets,0.026,0.025,0.03,0.032,0.035,0.038,0.068,0.068,0.07,0.068
Return on Average Equity,0.079,0.075,0.089,0.094,0.102,0.111,0.205,0.214,0.228,0.229
Return on Sales,0.148,0.142,0.156,0.163,0.179,0.189,0.153,0.149,0.14,0.131
Tangible Asset Value,260230000000,263156000000,260749000000,255755000000,255999000000,238736000000,239256000000,240042000000,227226000000,224372000000
Tangible Asset Book Value per Share,36.208,36.024,35.587,34.925,35.006,32.802,32.847,37.796,36.881,36.549
Working Capital,-17000000000,-14150000000,-17431000000,-19158000000,-18180000000,-12993000000,-12313000000,-13307000000,7925000000,-2243000000
