Reporting Period,3/31/2020,12/31/2019,9/30/2019,6/30/2019,3/31/2019,12/31/2018,9/30/2018,6/30/2018,3/31/2018,12/31/2017
Asset Turnover,null,null,null,null,null,null,null,null,null,null
Average Assets,null,null,null,null,null,null,null,null,null,null
Book Value per Share,37.983,45.569,43.986,39.22,36.749,36.856,34.735,31.158,29.28,29.482
Current Ratio,0.491,0.549,0.544,0.554,0.496,0.513,0.634,0.63,0.584,0.559
Debt to Equity Ratio,4.633,3.563,3.619,4.053,4.166,3.882,3.735,4.173,4.28,3.848
Dividend Yield,0,0,0,0,0,0,0,0,0,0
EBITDA,-1943000000,3293000000,1540000000,1545000000,555000000,2891000000,1230000000,1018000000,344000000,2827000000
EBITDA [USD],-1943000000,3293000000,1540000000,1545000000,555000000,2891000000,1230000000,1018000000,344000000,2827000000
EBITDA Margin,-0.244,0.302,0.135,0.136,0.058,0.276,0.112,0.094,0.038,0.299
Earnings before Tax,-2114000000,844000000,1349000000,1354000000,367000000,553000000,1058000000,855000000,182000000,603000000
Average Equity,null,null,null,null,null,null,null,null,null,null
Enterprise Value,23222857710,37204615129,37348427074,38954978707,31952526093,32153445217,33616109746,29727722827,30281147000,29486414119
Enterprise Value over EBIT,11,8,9,10,9,10,10,9,8,8
Enterprise Value over EBITDA,5.236,5.366,5.719,6.262,5.612,5.864,6.203,5.556,5.242,5.133
Free Cash Flow,-1896000000,-58000000,281000000,1852000000,306000000,-475000000,88000000,1716000000,765000000,-189000000
Free Cash Flow per Share,-7.647,-0.229,1.094,7.038,1.147,-1.743,0.323,6.189,2.687,-0.638
Foreign Currency to USD Exchange Rate,1,1,1,1,1,1,1,1,1,1
Gross Margin,0.553,0.617,0.629,0.627,0.605,0.603,0.597,0.604,0.586,0.603
Invested Capital,47602000000,45541000000,43785000000,43054000000,43555000000,43235000000,32588000000,32015000000,32185000000,32024000000
Invested Capital Average,null,null,null,null,null,null,null,null,null,null
Market Capitalization,7822857710,22290615129,22714427074,23036978707,21279526093,22813445217,24278109746,19333722827,19778147000,19967414119
Profit Margin,-0.214,0.059,0.09,0.092,0.03,0.044,0.076,0.063,0.016,0.061
Price to Earnings (Damodaran Method),7.722,7.408,8.029,8.733,9.378,10.751,10.843,9.426,9.035,9.318
Price to Earnings Ratio,8.436,7.574,8.163,8.861,9.577,10.874,11.091,9.794,9.503,9.52
Price to Sales Ratio,0.188,0.515,0.53,0.542,0.508,0.552,0.603,0.494,0.515,0.528
Price to Sales (Damodaran Method),0.188,0.515,0.53,0.542,0.508,0.552,0.603,0.494,0.515,0.528
Price to Book Value,0.831,1.933,2.01,2.232,2.171,2.272,2.564,2.238,2.373,2.286
Return on Invested Capital,null,null,null,null,null,null,null,null,null,null
Sales per Share,32.18,43.028,44.294,43.332,35.951,38.504,40.363,38.869,31.725,31.902
Payout Ratio,0,0,0,0,0,0,0,0,0,0
Return on Average Assets,null,null,null,null,null,null,null,null,null,null
Return on Average Equity,null,null,null,null,null,null,null,null,null,null
Return on Sales,null,null,null,null,null,null,null,null,null,null
Tangible Asset Value,45587000000,45079000000,44562000000,44498000000,42972000000,41342000000,36932000000,36769000000,35974000000,34284000000
Tangible Asset Book Value per Share,183.855,178.147,173.446,169.111,161.108,151.734,135.479,132.613,126.357,115.726
Working Capital,-8182000000,-6744000000,-7158000000,-7168000000,-7727000000,-6745000000,-5013000000,-5211000000,-5896000000,-5630000000
