Reporting Period,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Asset Turnover,0.329,0.327,0.323,0.317,0.311,0.306,0.301,0.294,0.289,0.286
Average Assets,72606000000,71867250000,71085750000,70248500000,69730000000,69524250000,68399000000,68087000000,67043250000,65589500000
Book Value per Share,17.654,17.913,17.351,17.568,17.095,16.904,16.596,16.324,16.595,16.144
Current Ratio,1.249,1.27,1.563,1.69,1.625,1.502,1.611,1.691,1.941,2.067
Debt to Equity Ratio,1.106,1.12,1.092,1.007,1.038,1.102,1.036,1.046,1.025,1.011
Dividend Yield,0.007,0.006,0.006,0.006,0.006,0.007,0.005,0.006,0.006,0.006
EBITDA,16568000000,16406000000,16073000000,15921000000,14881000000,14427000000,14031000000,13574000000,13641000000,13086000000
EBITDA [USD],16568000000,16406000000,16073000000,15921000000,14881000000,14427000000,14031000000,13574000000,13641000000,13086000000
EBITDA Margin,0.694,0.697,0.7,0.715,0.687,0.679,0.681,0.678,0.705,0.698
Earnings before Tax,15380000000,15228000000,14884000000,14711000000,13657000000,13197000000,12806000000,12367000000,12469000000,11954000000
Average Equity,34883500000,34806000000,34512250000,34342750000,33923500000,33880500000,33707000000,33395500000,33052000000,32222000000
Enterprise Value,322485121395,377721937135,349133190940,354500335695,320380186765,273102309533,311955802382,278314481220,254081582355,243670685945
Enterprise Value over EBIT,20,24,23,23,22,20,23,21,19,19
Enterprise Value over EBITDA,19.464,23.023,21.722,22.266,21.529,18.93,22.233,20.503,18.626,18.621
Free Cash Flow,11918000000,12575000000,12028000000,11516000000,11907000000,12702000000,12237000000,11649000000,11410000000,8957000000
Free Cash Flow per Share,6.084,6.386,6.017,5.781,5.939,6.297,5.972,5.707,5.552,4.329
Foreign Currency to USD Exchange Rate,1,1,1,1,1,1,1,1,1,1
Gross Margin,0.847,0.846,0.85,0.848,0.845,0.845,0.846,0.85,0.852,0.854
Invested Capital,21000000000,20584000000,24409000000,24715000000,24514000000,22664000000,22145000000,21044000000,23180000000,23120000000
Invested Capital Average,22677000000,23555500000,24075500000,23509500000,22591750000,22258250000,22372250000,22457750000,22092250000,21350250000
Market Capitalization,316199121395,370035937135,341253190940,346417335695,313532186765,266125309533,305320802382,270716481220,246481582355,236208685945
Profit Margin,0.523,0.526,0.526,0.534,0.513,0.506,0.5,0.479,0.482,0.381
Price to Earnings (Damodaran Method),25.332,29.902,28.249,29.111,28.175,24.742,29.64,28.211,26.43,33.032
Price to Earnings Ratio,28.978,34.288,32.333,33.311,32.271,28.374,33.88,32.384,30.207,37.755
Price to Sales Ratio,13.215,15.727,14.965,15.521,14.449,12.522,14.922,13.496,12.701,12.576
Price to Sales (Damodaran Method),13.238,15.729,14.852,15.553,14.466,12.522,14.815,13.516,12.735,12.592
Price to Book Value,9.143,10.492,9.839,9.899,9.148,7.805,8.978,8.125,7.228,7.072
Return on Invested Capital,0.699,0.668,0.64,0.65,0.631,0.62,0.6,0.578,0.591,0.587
Sales per Share,12.192,11.948,11.494,11.182,10.81,10.537,10.058,9.814,9.418,9.067
Payout Ratio,0.198,0.192,0.188,0.184,0.19,0.189,0.186,0.191,0.186,0.228
Return on Average Assets,0.172,0.172,0.17,0.169,0.16,0.155,0.151,0.141,0.139,0.109
Return on Average Equity,0.358,0.356,0.35,0.347,0.328,0.317,0.306,0.287,0.282,0.222
Return on Sales,0.664,0.669,0.671,0.686,0.657,0.649,0.651,0.648,0.675,0.668
Tangible Asset Value,30054000000,31877000000,30138000000,27664000000,27811000000,29205000000,26473000000,25343000000,25133000000,23883000000
Tangible Asset Book Value per Share,15.342,16.189,15.077,13.888,13.871,14.479,12.92,12.417,12.23,11.543
Working Capital,3965000000,4740000000,7555000000,7476000000,7110000000,6718000000,6911000000,7557000000,8985000000,8924000000
