Reporting Period,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Asset Turnover,0.716,0.737,0.758,0.793,0.813,0.83,0.813,0.772,0.731,0.706
Average Assets,359622750000,359719000000,355618750000,354435500000,351450750000,349610000000,350233750000,348933500000,347489000000,346334750000
Book Value per Share,43.022,45.295,44.885,45.231,45.155,45.301,44.963,44.22,44.412,44.296
Current Ratio,0.776,0.782,0.779,0.736,0.774,0.84,0.827,0.81,0.801,0.816
Debt to Equity Ratio,0.918,0.854,0.854,0.848,0.827,0.77,0.829,0.829,0.818,0.822
Dividend Yield,0.092,0.049,0.048,0.043,0.041,0.047,0.037,0.038,0.041,0.037
EBITDA,36435000000,39450000000,41110000000,45093000000,47087000000,49883000000,45741000000,42468000000,40308000000,39030000000
EBITDA [USD],36435000000,39450000000,41110000000,45093000000,47087000000,49883000000,45741000000,42468000000,40308000000,39030000000
EBITDA Margin,0.142,0.149,0.152,0.16,0.165,0.172,0.161,0.158,0.159,0.16
Earnings before Tax,15291000000,19622000000,21163000000,25393000000,27498000000,30372000000,25445000000,22039000000,19805000000,18536000000
Average Equity,188755250000,191041000000,191077000000,191189500000,190150750000,189394000000,188367500000,186345250000,184334250000,181573250000
Enterprise Value,204527282550,337041581285,339741415419,360467726630,376926036425,323071310922,397748555787,386757122973,355316051683,390735552280
Enterprise Value over EBIT,13,16,15,14,13,10,15,17,17,20
Enterprise Value over EBITDA,5.613,8.544,8.264,7.994,8.005,6.477,8.696,9.107,8.815,10.011
Free Cash Flow,2545000000,5355000000,8220000000,11330000000,14409000000,16440000000,16837000000,13555000000,14551000000,14664000000
Free Cash Flow per Share,0.601,1.266,1.943,2.678,3.403,3.883,3.977,3.202,3.434,3.461
Foreign Currency to USD Exchange Rate,1,1,1,1,1,1,1,1,1,1
Gross Margin,0.336,0.342,0.346,0.347,0.347,0.349,0.338,0.341,0.349,0.352
Invested Capital,339231000000,342439000000,336961000000,331425000000,325796000000,323812000000,323708000000,324133000000,325012000000,330079000000
Invested Capital Average,337514000000,334155250000,329498500000,326185250000,324362250000,324166250000,325733000000,327804500000,329260250000,330393500000
Market Capitalization,160696282550,295246581285,298758415419,324228726630,342172036425,288703310922,359958555787,350265122973,316157051683,354391552280
Profit Margin,0.044,0.054,0.054,0.063,0.065,0.072,0.082,0.078,0.08,0.081
Price to Earnings (Damodaran Method),14.121,20.589,20.393,18.297,18.456,13.853,15.502,16.719,15.536,17.98
Price to Earnings Ratio,14.221,20.768,20.526,18.465,18.618,13.973,15.629,16.849,15.642,18.065
Price to Sales Ratio,0.624,1.114,1.108,1.153,1.198,0.995,1.264,1.301,1.245,1.45
Price to Sales (Damodaran Method),0.624,1.114,1.108,1.153,1.198,0.995,1.264,1.301,1.245,1.45
Price to Book Value,0.883,1.541,1.573,1.694,1.789,1.505,1.891,1.871,1.68,1.888
Return on Invested Capital,0.048,0.061,0.067,0.08,0.087,0.096,0.08,0.069,0.062,0.058
Sales per Share,60.836,62.617,63.733,66.464,67.447,68.546,67.276,63.613,59.919,57.672
Payout Ratio,1.303,1.021,0.983,0.802,0.756,0.662,0.585,0.637,0.646,0.661
Return on Average Assets,0.032,0.04,0.041,0.05,0.053,0.06,0.066,0.06,0.059,0.057
Return on Average Equity,0.06,0.075,0.077,0.093,0.098,0.11,0.123,0.112,0.11,0.109
Return on Sales,0.063,0.077,0.082,0.093,0.099,0.107,0.092,0.084,0.081,0.078
Tangible Asset Value,355804000000,362597000000,359361000000,360729000000,356189000000,346196000000,354628000000,348790000000,348826000000,348691000000
Tangible Asset Book Value per Share,84.071,85.698,84.933,85.257,84.11,81.769,83.761,82.382,82.32,82.295
Working Capital,-14524000000,-13937000000,-14187000000,-18544000000,-15056000000,-9165000000,-11313000000,-11892000000,-11991000000,-10637000000
