,Time,Ticker,Asset Turnover,Average Assets,Book Value per Share,Current Ratio,Debt to Equity Ratio,Dividend Yield,EBITDA,EBITDA [USD],EBITDA Margin,Earnings before Tax,Average Equity,Enterprise Value,Enterprise Value over EBIT,Enterprise Value over EBITDA,Free Cash Flow,Free Cash Flow per Share,Foreign Currency to USD Exchange Rate,Gross Margin,Invested Capital,Invested Capital Average,Market Capitalization,Profit Margin,Price to Earnings (Damodaran Method),Price to Earnings Ratio,Price to Sales Ratio,Price to Sales (Damodaran Method),Price to Book Value,Return on Invested Capital,Sales per Share,Payout Ratio,Return on Average Assets,Return on Average Equity,Return on Sales,Tangible Asset Value,Tangible Asset Book Value per Share,Working Capital
69,2017-10-29,HD,2.219,44723000000.0,2.177,1.23,16.705,0.02,16451000000.0,16451000000.0,0.166,13447000000.0,3598000000.0,217400334507.0,15.0,13.215,9821000000.0,8.408,1.0,0.341,48844000000.0,47617000000.0,197263334507.0,0.087,22.951,23.145,1.97,1.9880000000000002,77.571,0.303,84.955,0.465,0.192,2.3890000000000002,0.145,42806000000.0,36.649,3680000000.0
189,2017-10-31,WMT,2.4459999999999997,202380750000.0,25.543000000000003,0.813,1.714,0.023,30019000000.0,30019000000.0,0.061,17107000000.0,76005750000.0,301986575450.0,15.0,10.06,18858000000.0,6.3260000000000005,1.0,0.256,153676000000.0,151850250000.0,260812575450.0,0.023,22.79,23.098000000000003,0.526,0.527,3.425,0.128,166.05599999999998,0.537,0.057,0.151,0.039,191210000000.0,64.143,-15067000000.0
49,2017-10-31,CRM,0.5760000000000001,17388173000.0,12.314,0.8240000000000001,0.98,0.0,1164004000.0,1164004000.0,0.11599999999999999,329148000.0,8178824750.0,73446799000.0,176.0,63.098,1851932000.0,2.583,1.0,0.7340000000000001,1716384000.0,1507479750.0,73551758000.0,0.025,299.078,301.0,7.327999999999999,7.345,8.33,0.278,13.967,0.0,0.013999999999999999,0.03,0.042,9159359000.0,12.775,-1270274000.0
9,2017-12-30,AAPL,0.654,365454500000.0,27.421,1.242,1.902,0.015,76854000000.0,76854000000.0,0.321,66939000000.0,135188250000.0,964270619760.0,14.0,12.547,53443000000.0,10.453,1.0,0.384,377877000000.0,357443000000.0,868879619760.0,0.21100000000000002,17.197,17.268,3.6180000000000003,3.633,6.197,0.187,46.778999999999996,0.251,0.138,0.374,0.28,398756000000.0,77.991,28022000000.0
89,2017-12-30,INTC,0.514,122023000000.0,14.682,1.693,0.7859999999999999,0.023,28830000000.0,28830000000.0,0.45899999999999996,20352000000.0,68856000000.0,238593800000.0,12.0,8.276,10332000000.0,2.198,1.0,0.623,92074000000.0,94037250000.0,216028800000.0,0.153,22.500999999999998,22.627,3.458,3.4419999999999997,3.13,0.22,13.350999999999999,0.528,0.079,0.139,0.33,86115000000.0,18.317999999999998,12079000000.0
39,2017-12-31,BRK,0.358,675922500000.0,141.27200000000002,,1.005,0.0,36999000000.0,36999000000.0,0.153,23425000000.0,312521000000.0,547482317310.0,20.0,14.797,34020000000.0,13.799000000000001,1.0,0.19699999999999998,659323000000.0,615593000000.0,488698317310.0,0.18600000000000003,10.874,10.879000000000001,2.019,2.019,1.403,0.045,98.182,0.0,0.066,0.14400000000000002,0.115,588319000000.0,238.627,
59,2017-12-31,GOOGL,0.601,184552000000.0,219.49,5.14,0.294,0.0,34108000000.0,34108000000.0,0.308,27193000000.0,150709250000.0,725287543727.0,27.0,21.264,23907000000.0,34.408,1.0,0.589,146927000000.0,135450750000.0,731904543727.0,0.114,57.803000000000004,57.657,6.602,6.602,4.7989999999999995,0.201,159.549,0.0,0.069,0.084,0.245,177856000000.0,255.981,100125000000.0
79,2017-12-31,IBM,0.653,121245500000.0,18.861,1.331,6.117000000000001,0.038,16551000000.0,16551000000.0,0.209,11395000000.0,18491750000.0,176745913213.0,15.0,10.679,13411000000.0,14.377,1.0,0.467,82053000000.0,79176500000.0,142034913213.0,0.073,24.689,24.865,1.808,1.795,8.073,0.152,84.838,0.956,0.047,0.311,0.152,84826000000.0,90.934,12372000000.0
109,2017-12-31,JPM,0.039,2551534500000.0,71.994,,8.908999999999999,0.019,40205000000.0,40205000000.0,0.39899999999999997,34026000000.0,257105250000.0,425190453204.0,12.0,10.575999999999999,-10827000000.0,-3.048,1.0,1.0,2542702000000.0,2559808500000.0,371052453204.0,0.22399999999999998,16.442,16.840999999999998,3.7710000000000004,3.685,1.4509999999999998,0.013000000000000001,28.355,0.321,0.009000000000000001,0.08800000000000001,0.33799999999999997,2479208000000.0,698.054,
99,2017-12-31,JNJ,0.501,152671500000.0,22.348000000000003,1.411,1.615,0.024,24249000000.0,24249000000.0,0.317,17673000000.0,69100500000.0,394805581386.0,21.0,16.281,17777000000.0,6.604,1.0,0.667,58389000000.0,63123000000.0,375360581386.0,0.017,288.73900000000003,291.08299999999997,4.92,4.91,6.239,0.295,28.399,6.917000000000001,0.009000000000000001,0.019,0.243,72169000000.0,26.809,12551000000.0
