,Time,Ticker,Book Value per Share,Current Ratio,Debt to Equity Ratio,Dividend Yield,EBITDA,EBITDA [USD],EBITDA Margin,Earnings before Tax,Enterprise Value,Enterprise Value over EBIT,Enterprise Value over EBITDA,Free Cash Flow,Free Cash Flow per Share,Foreign Currency to USD Exchange Rate,Gross Margin,Invested Capital,Market Capitalization,Profit Margin,Price to Earnings (Damodaran Method),Price to Earnings Ratio,Price to Sales Ratio,Price to Sales (Damodaran Method),Price to Book Value,Sales per Share,Payout Ratio,Tangible Asset Value,Tangible Asset Book Value per Share,Working Capital
0,3/31/2020,AAL,-6.187,0.373,-23.223000000000003,0.033,-2633000000.0,-2633000000.0,-0.309,-2890000000.0,38199656089.0,190.0,15.165,-978000000.0,-2.295,1.0,0.442,66659000000.0,5193656089.0,-0.263,-7.018,-6.553999999999999,0.11900000000000001,0.11900000000000001,-1.97,19.986,-0.019,52430000000.0,123.05799999999999,-12038000000.0
1,12/31/2019,AAL,-0.26899999999999996,0.44799999999999995,-509.43199999999996,0.013999999999999999,3154000000.0,3154000000.0,0.27899999999999997,571000000.0,46533502608.0,14.0,8.208,-1156000000.0,-2.639,1.0,0.542,68515000000.0,12563502608.0,0.037000000000000005,7.452000000000001,7.547000000000001,0.275,0.275,-106.47,25.825,0.105,53820000000.0,122.86,-10105000000.0
2,9/30/2019,AAL,0.359,0.489,381.344,0.015,841000000.0,841000000.0,0.071,557000000.0,46280951534.0,15.0,8.673,156000000.0,0.35,1.0,0.547,69399000000.0,12008951534.0,0.036000000000000004,7.524,7.5760000000000005,0.265,0.265,75.056,26.75,0.10400000000000001,54989000000.0,123.49600000000001,-9988000000.0
3,6/30/2019,AAL,-0.049,0.489,-2817.6820000000002,0.012,1157000000.0,1157000000.0,0.09699999999999999,882000000.0,47457073100.0,15.0,9.033999999999999,-104000000.0,-0.23399999999999999,1.0,0.555,69920000000.0,14506073100.0,0.055,9.401,9.562999999999999,0.322,0.322,-659.367,26.886,0.067,55771000000.0,125.375,-10273000000.0
4,3/31/2019,AAL,-1.416,0.436,-96.57700000000001,0.013000000000000001,516000000.0,516000000.0,0.049,245000000.0,47862004205.0,16.0,9.357000000000001,353000000.0,0.7859999999999999,1.0,0.539,67683000000.0,14262004205.0,0.017,9.925,10.179,0.319,0.319,-22.425,23.569000000000003,0.244,54581000000.0,121.546,-11195000000.0
5,12/31/2018,AAL,-0.36700000000000005,0.47700000000000004,-359.462,0.012,2822000000.0,2822000000.0,0.258,395000000.0,39099270777.0,13.0,7.667999999999999,-1042000000.0,-2.262,1.0,0.536,69856000000.0,14789270777.0,0.03,10.474,10.562999999999999,0.332,0.332,-87.51,23.748,0.14300000000000002,54352000000.0,118.007,-9459000000.0
6,9/30/2018,AAL,-1.2329999999999999,0.581,-93.667,0.01,758000000.0,758000000.0,0.066,496000000.0,42632845897.0,14.0,8.581,-480000000.0,-1.042,1.0,0.532,54359000000.0,19032845897.0,0.032,37.764,34.731,0.43,0.43,-33.509,25.1,0.12300000000000001,46397000000.0,100.75200000000001,-6850000000.0
7,6/30/2018,AAL,-1.8559999999999999,0.55,-61.555,0.011000000000000001,1019000000.0,1019000000.0,0.08800000000000001,756000000.0,41919074556.0,12.0,7.568,378000000.0,0.807,1.0,0.5529999999999999,53305000000.0,17771074556.0,0.048,22.41,21.816,0.40700000000000003,0.40700000000000003,-20.45,24.87,0.083,46374000000.0,99.057,-7493000000.0
8,3/31/2018,AAL,-2.1519999999999997,0.569,-53.338,0.008,500000000.0,500000000.0,0.048,238000000.0,49036285969.0,12.0,7.945,1043000000.0,2.204,1.0,0.5479999999999999,54136000000.0,24584285969.0,0.015,22.329,22.590999999999998,0.569,0.569,-24.15,21.983,0.294,46996000000.0,99.32799999999999,-7335000000.0
9,12/31/2017,AAL,-1.63,0.596,-68.673,0.008,2691000000.0,2691000000.0,0.254,408000000.0,48847306768.0,11.0,7.556,-1708000000.0,-3.569,1.0,0.569,55585000000.0,24896306768.0,-0.055,19.42,19.859,0.584,0.584,-31.918000000000003,22.176,-0.086,46491000000.0,97.16,-6212000000.0
