,Unnamed: 0,Time,Ticker,Book Value per Share,Current Ratio,Debt to Equity Ratio,Dividend Yield,EBITDA,EBITDA [USD],EBITDA Margin,Earnings before Tax,Enterprise Value,Enterprise Value over EBIT,Enterprise Value over EBITDA,Free Cash Flow,Free Cash Flow per Share,Foreign Currency to USD Exchange Rate,Gross Margin,Invested Capital,Market Capitalization,Profit Margin,Price to Earnings (Damodaran Method),Price to Earnings Ratio,Price to Sales Ratio,Price to Sales (Damodaran Method),Price to Book Value,Sales per Share,Payout Ratio,Tangible Asset Value,Tangible Asset Book Value per Share,Working Capital
0,0,2020-03-31,LUV,17.621,0.6859999999999999,1.963,0.02,195000000.0,195000000.0,0.046,-144000000.0,19868894179.0,8.0,5.4289999999999985,-601000000.0,-1.167,1.0,0.65,18083000000.0,18420894179.0,-0.022,10.127,10.443,0.853,0.856,2.03,8.221,-1.0,25915000000.0,50.32,-3213000000.0
1,1,2019-12-31,LUV,18.682,0.667,1.634,0.013,1007000000.0,1007000000.0,0.17600000000000002,666000000.0,30301385282.0,10.0,7.057,563000000.0,1.07,1.0,0.6970000000000001,17421000000.0,28408385282.0,0.09,12.351,12.612,1.267,1.267,2.889,10.888,0.184,24925000000.0,47.361,-2978000000.0
2,2,2019-09-30,LUV,18.632,0.655,1.665,0.013,1157000000.0,1157000000.0,0.205,819000000.0,31110295330.0,10.0,6.96,716000000.0,1.3430000000000002,1.0,0.69,18761000000.0,29031295330.0,0.117,11.893,12.056,1.285,1.296,2.923,10.58,0.145,25497000000.0,47.837,-2979000000.0
3,3,2019-06-30,LUV,18.339,0.645,1.653,0.013,1301000000.0,1301000000.0,0.22,968000000.0,29916834505.0,9.0,6.749,736000000.0,1.358,1.0,0.695,18872000000.0,27576834505.0,0.125,11.505,11.755,1.232,1.235,2.774,10.902,0.131,25404000000.0,46.871,-3057000000.0
4,4,2019-03-31,LUV,17.77,0.629,1.702,0.012,832000000.0,832000000.0,0.162,504000000.0,30213078152.0,9.0,6.84,945000000.0,1.715,1.0,0.6809999999999999,19106000000.0,28690078152.0,0.075,12.009,12.300999999999998,1.29,1.294,2.93,9.345,0.229,25489000000.0,46.26,-3240000000.0
5,5,2018-12-31,LUV,17.658,0.636,1.663,0.013,1180000000.0,1180000000.0,0.207,817000000.0,27478010396.0,8.0,6.112,451000000.0,0.8079999999999999,1.0,0.6829999999999999,18891000000.0,26136010396.0,0.115,10.603,10.809,1.213,1.19,2.653,10.222,0.13699999999999998,25273000000.0,45.292,-2877000000.0
6,6,2018-09-30,LUV,17.844,0.7140000000000001,1.648,0.009000000000000001,1120000000.0,1120000000.0,0.201,786000000.0,37191048416.0,12.0,8.53,817000000.0,1.436,1.0,0.6729999999999999,19411000000.0,35785048416.0,0.11,10.058,10.305,1.651,1.663,3.525,9.798,0.14800000000000002,25912000000.0,45.54,-2242000000.0
7,7,2018-06-30,LUV,17.296,0.701,1.6469999999999998,0.011,1285000000.0,1285000000.0,0.224,960000000.0,31270388241.0,10.0,7.104,1110000000.0,1.92,1.0,0.6829999999999999,19185000000.0,29500388241.0,0.128,8.499,8.683,1.384,1.388,2.951,9.934,0.126,25495000000.0,44.109,-2308000000.0
8,8,2018-03-31,LUV,16.387,0.67,1.651,0.009000000000000001,911000000.0,911000000.0,0.184,602000000.0,35850831733.0,10.0,7.747000000000001,593000000.0,1.01,1.0,0.675,19141000000.0,33677831733.0,0.094,9.675,9.842,1.5830000000000002,1.586,3.5010000000000003,8.422,0.158,24533000000.0,41.794,-2361000000.0
9,9,2017-12-31,LUV,16.368,0.7020000000000001,1.605,0.006999999999999999,1044000000.0,1044000000.0,0.199,735000000.0,40456222347.0,12.0,8.801,43000000.0,0.073,1.0,0.691,19450000000.0,38837222347.0,0.332,11.569,11.729,1.86,1.837,4.0280000000000005,8.927,0.043,24140000000.0,40.985,-2048000000.0
0,0,2020-03-31,DAL,22.355,0.53,3.804,0.055,-528000000.0,-528000000.0,-0.061,-607000000.0,32634881677.0,7.0,4.338,-579000000.0,-0.905,1.0,0.544,50578000000.0,18261881677.0,-0.062,5.215,5.274,0.405,0.405,1.276,13.423,-0.48,52966000000.0,82.74700000000001,-9117000000.0
1,1,2019-12-31,DAL,23.747,0.408,3.202,0.026,4052000000.0,4052000000.0,0.354,1398000000.0,52326522102.0,8.0,5.763,-115000000.0,-0.17800000000000002,1.0,0.612,43757000000.0,37821522102.0,0.096,7.934,7.989,0.805,0.805,2.463,17.687,0.236,49588000000.0,76.673,-11955000000.0
2,2,2019-09-30,DAL,23.174,0.344,3.196,0.025,2017000000.0,2017000000.0,0.161,1947000000.0,51813555539.0,8.0,5.909,1301000000.0,2.001,1.0,0.618,42911000000.0,37451555539.0,0.119,7.991,8.079,0.809,0.809,2.486,19.317,0.174,48617000000.0,74.77199999999998,-13267000000.0
3,3,2019-06-30,DAL,21.31,0.337,3.479,0.025,1982000000.0,1982000000.0,0.158,1907000000.0,52772050070.0,9.0,6.199,1712000000.0,2.614,1.0,0.618,41111000000.0,37171050070.0,0.115,8.235,8.42,0.813,0.813,2.6630000000000003,19.139,0.158,47913000000.0,73.15,-14030000000.0
4,4,2019-03-31,DAL,19.016,0.337,3.79,0.026,1029000000.0,1029000000.0,0.098,946000000.0,50029772562.0,9.0,6.2570000000000014,582000000.0,0.857,1.0,0.589,41511000000.0,35067772562.0,0.07,8.539,8.594,0.78,0.78,2.716,15.424,0.318,47233000000.0,69.568,-14127000000.0
5,5,2018-12-31,DAL,19.963,0.341,3.403,0.026,3741000000.0,3741000000.0,0.348,1345000000.0,40909373180.0,7.0,5.251,-118000000.0,-0.172,1.0,0.585,42039000000.0,34212373180.0,0.095,8.693999999999999,8.77,0.77,0.77,2.5,15.668,0.235,45655000000.0,66.589,-12238000000.0
6,6,2018-09-30,DAL,19.823,0.37,3.014,0.022,1761000000.0,1761000000.0,0.147,1688000000.0,46671690178.0,9.0,6.295,537000000.0,0.777,1.0,0.596,28913000000.0,39979690178.0,0.111,12.443,12.437,0.91,0.91,2.917,17.29,0.181,40374000000.0,58.4,-11432000000.0
7,7,2018-06-30,DAL,18.301,0.397,3.34,0.025,1465000000.0,1465000000.0,0.124,1386000000.0,42002770276.0,8.0,5.579,1320000000.0,1.879,1.0,0.606,28586000000.0,34800770276.0,0.08800000000000001,11.41,11.415,0.809,0.809,2.707,16.762,0.205,41163000000.0,58.597,-11628000000.0
