,Time,Ticker,Book Value per Share,Current Ratio,Debt to Equity Ratio,Dividend Yield,EBITDA,EBITDA [USD],EBITDA Margin,Earnings before Tax,Enterprise Value,Enterprise Value over EBIT,Enterprise Value over EBITDA,Free Cash Flow,Free Cash Flow per Share,Foreign Currency to USD Exchange Rate,Gross Margin,Invested Capital,Market Capitalization,Profit Margin,Price to Earnings (Damodaran Method),Price to Earnings Ratio,Price to Sales Ratio,Price to Sales (Damodaran Method),Price to Book Value,Sales per Share,Payout Ratio,Tangible Asset Value,Tangible Asset Book Value per Share,Working Capital
0,2020-03-31,DAL,22.355,0.53,3.804,0.055,-528000000.0,-528000000.0,-0.061,-607000000.0,32634881677.0,7.0,4.338,-579000000.0,-0.905,1.0,0.544,50578000000.0,18261881677.0,-0.062,5.215,5.274,0.405,0.405,1.276,13.423,-0.48,52966000000.0,82.74700000000001,-9117000000.0
1,2019-12-31,DAL,23.747,0.408,3.202,0.026000000000000002,4052000000.0,4052000000.0,0.354,1398000000.0,52326522102.0,8.0,5.763,-115000000.0,-0.17800000000000002,1.0,0.612,43757000000.0,37821522102.0,0.096,7.934,7.989,0.805,0.805,2.463,17.687,0.23600000000000002,49588000000.0,76.673,-11955000000.0
2,2019-09-30,DAL,23.174,0.344,3.196,0.025,2017000000.0,2017000000.0,0.161,1947000000.0,51813555539.0,8.0,5.909,1301000000.0,2.001,1.0,0.618,42911000000.0,37451555539.0,0.11900000000000001,7.9910000000000005,8.079,0.809,0.809,2.4859999999999998,19.317,0.174,48617000000.0,74.77199999999999,-13267000000.0
3,2019-06-30,DAL,21.31,0.337,3.4789999999999996,0.025,1982000000.0,1982000000.0,0.158,1907000000.0,52772050070.0,9.0,6.199,1712000000.0,2.614,1.0,0.618,41111000000.0,37171050070.0,0.115,8.235,8.42,0.813,0.813,2.6630000000000003,19.139,0.158,47913000000.0,73.15,-14030000000.0
4,2019-03-31,DAL,19.016,0.337,3.79,0.026000000000000002,1029000000.0,1029000000.0,0.098,946000000.0,50029772562.0,9.0,6.257000000000001,582000000.0,0.857,1.0,0.589,41511000000.0,35067772562.0,0.07,8.539,8.594,0.78,0.78,2.716,15.424000000000001,0.318,47233000000.0,69.568,-14127000000.0
5,2018-12-31,DAL,19.963,0.341,3.403,0.026000000000000002,3741000000.0,3741000000.0,0.348,1345000000.0,40909373180.0,7.0,5.251,-118000000.0,-0.172,1.0,0.585,42039000000.0,34212373180.0,0.095,8.693999999999999,8.77,0.77,0.77,2.5,15.668,0.235,45655000000.0,66.589,-12238000000.0
6,2018-09-30,DAL,19.823,0.37,3.014,0.022000000000000002,1761000000.0,1761000000.0,0.147,1688000000.0,46671690178.0,9.0,6.295,537000000.0,0.777,1.0,0.596,28913000000.0,39979690178.0,0.111,12.443,12.437000000000001,0.91,0.91,2.917,17.29,0.18100000000000002,40374000000.0,58.4,-11432000000.0
7,2018-06-30,DAL,18.301,0.397,3.34,0.025,1465000000.0,1465000000.0,0.124,1386000000.0,42002770276.0,8.0,5.579,1320000000.0,1.879,1.0,0.606,28586000000.0,34800770276.0,0.08800000000000001,11.41,11.415,0.809,0.809,2.707,16.762,0.205,41163000000.0,58.597,-11628000000.0
8,2018-03-31,DAL,17.762999999999998,0.386,3.307,0.02,824000000.0,824000000.0,0.083,732000000.0,45765921152.0,8.0,5.722,107000000.0,0.151,1.0,0.598,26631000000.0,38745921152.0,0.055999999999999994,12.107999999999999,12.234000000000002,0.922,0.922,3.0860000000000003,14.100999999999999,0.386,39441000000.0,55.793,-12288000000.0
9,2017-12-31,DAL,17.574,0.41200000000000003,3.283,0.018000000000000002,3364000000.0,3364000000.0,0.32899999999999996,1043000000.0,47256495784.0,8.0,5.821000000000001,731000000.0,1.025,1.0,0.617,27091000000.0,39926495784.0,0.028999999999999998,12.458,12.584000000000001,0.971,0.971,3.1860000000000004,14.345999999999998,0.693,39030000000.0,54.743,-11155000000.0
