,Date, Close/Last, Volume, Open, High, Low
252,2019-05-22,54.06,3616690,54.49,54.84,53.89
251,2019-05-23,54.0,5279103,53.65,54.75,53.24
250,2019-05-24,54.12,2503194,54.42,54.62,53.71
249,2019-05-28,53.88,3454118,54.14,54.63,53.87
248,2019-05-29,53.21,3929675,53.75,53.75,52.81
247,2019-05-30,53.03,3775210,53.38,53.8,52.87
246,2019-05-31,51.5,5615106,52.47,52.8,51.3094
245,2019-06-03,52.1,7244631,51.48,52.7,51.41
244,2019-06-04,54.31,7619264,52.85,54.365,52.82
243,2019-06-05,54.94,6379259,54.85,55.23,54.2378
242,2019-06-06,54.69,6192026,55.06,55.2214,54.36
241,2019-06-07,55.07,4234804,54.92,55.845,54.92
240,2019-06-10,54.73,3312865,55.5,55.895,54.65
239,2019-06-11,54.88,2833733,55.02,55.31,54.48
238,2019-06-12,55.45,3856327,55.05,55.48,54.9
237,2019-06-13,56.52,6300572,55.69,57.24,55.67
236,2019-06-14,55.99,4382468,56.57,56.63,55.78
235,2019-06-17,55.67,4057425,55.78,55.935,55.26
234,2019-06-18,56.03,3642521,55.95,56.52,55.46
233,2019-06-19,56.36,3196821,56.28,56.56,55.95
232,2019-06-20,55.97,5055778,56.85,56.88,55.3274
231,2019-06-21,55.99,8573677,56.0,56.86,55.555
230,2019-06-24,56.07,2896010,56.1,56.23,55.67
229,2019-06-25,55.92,3579823,56.05,56.7221,55.86
228,2019-06-26,56.38,4437735,56.07,56.81,55.84
227,2019-06-27,56.82,4375403,56.75,57.42,56.5001
226,2019-06-28,56.75,8034898,56.89,57.42,56.7
225,2019-07-01,57.79,5020562,57.3,57.9,57.25
224,2019-07-02,58.54,6838308,58.6,59.22,58.09
223,2019-07-03,59.15,3303860,59.0,59.62,58.89
222,2019-07-05,58.7,5896922,59.15,59.39,57.85
221,2019-07-08,59.37,7800583,58.9,59.67,58.84
220,2019-07-09,58.96,7870188,59.57,59.99,58.561
219,2019-07-10,59.47,7781257,59.34,59.67,58.76
218,2019-07-11,60.16,12695630,60.25,60.79,59.47
217,2019-07-12,61.65,10045660,60.23,62.24,60.02
216,2019-07-15,61.7,5889350,61.57,62.41,61.31
215,2019-07-16,63.16,10319700,61.88,63.255,61.72
214,2019-07-17,62.25,7532027,63.23,63.272,62.19
213,2019-07-18,62.66,4482528,61.77,62.66,61.64
212,2019-07-19,60.91,7903124,62.86,63.09,60.86
211,2019-07-22,61.29,4787115,61.45,61.6268,61.06
210,2019-07-23,63.09,7452209,61.45,63.11,61.27
209,2019-07-24,63.16,5718757,62.39,63.4369,62.38
208,2019-07-25,62.23,5351901,62.77,63.13,61.84
207,2019-07-26,62.16,3857912,62.25,62.66,61.914
206,2019-07-29,62.46,4972236,61.98,62.72,61.85
205,2019-07-30,62.63,2914263,62.31,62.68,62.09
204,2019-07-31,61.04,7229581,62.5,62.525,60.68
203,2019-08-01,60.32,5838036,61.31,61.77,59.77
202,2019-08-02,60.13,3739497,59.9,60.53,59.48
201,2019-08-05,57.82,8855672,59.37,59.39,57.0301
200,2019-08-06,58.79,4704848,58.49,58.9,58.09
199,2019-08-07,59.24,7648820,58.02,59.55,57.43
198,2019-08-08,60.03,5414045,59.93,60.45,59.4
197,2019-08-09,59.53,5606407,59.69,60.16,59.07
196,2019-08-12,58.66,4788269,59.07,59.2998,58.27
195,2019-08-13,58.84,6196702,58.2,59.92,58.17
194,2019-08-14,57.23,7662820,57.92,58.06,56.7
193,2019-08-15,57.11,4360437,57.47,57.7,56.78
192,2019-08-16,58.04,4226143,57.43,58.36,57.22
191,2019-08-19,58.19,3503479,58.68,59.0,58.14
190,2019-08-20,57.68,2513667,58.02,58.17,57.59
189,2019-08-21,58.01,3015696,58.25,58.57,57.85
188,2019-08-22,57.96,3437022,58.13,58.28,57.47
187,2019-08-23,56.2,5922900,57.82,58.065,55.84
186,2019-08-26,56.28,3415430,56.76,56.87,55.95
185,2019-08-27,56.14,7703233,56.63,56.68,55.57
184,2019-08-28,56.68,5264070,55.84,57.165,55.8
183,2019-08-29,57.88,4101360,57.12,58.13,57.0601
182,2019-08-30,57.86,4268962,58.15,58.86,57.59
181,2019-09-03,57.29,6602548,57.44,57.91,56.65
180,2019-09-04,57.23,4946630,57.62,58.04,56.74
179,2019-09-05,58.19,4462558,57.66,58.94,57.5501
178,2019-09-06,57.98,5741083,58.7,58.96,57.89
177,2019-09-09,58.11,5740464,57.98,58.45,57.555
176,2019-09-10,58.64,4409686,58.08,58.7227,57.8
175,2019-09-11,58.78,4163733,58.62,59.18,58.14
174,2019-09-12,59.44,5188741,58.78,59.8919,58.78
173,2019-09-13,60.01,7548427,60.0,60.58,59.61
172,2019-09-16,59.07,9556386,58.03,59.13,57.25
171,2019-09-17,59.37,8189498,58.31,59.77,58.16
170,2019-09-18,59.31,4110180,59.45,59.5,58.67
169,2019-09-19,58.69,3586202,59.25,59.25,58.305
168,2019-09-20,58.63,6179956,58.8,59.18,58.49
167,2019-09-23,58.02,4422375,58.31,58.6646,57.84
166,2019-09-24,58.0,5280085,58.62,58.91,57.56
165,2019-09-25,58.31,3300082,58.04,58.49,57.679
164,2019-09-26,58.78,3815503,58.11,58.81,57.93
163,2019-09-27,58.28,5377186,58.97,59.38,58.1645
162,2019-09-30,57.6,5224565,58.51,58.69,57.52
161,2019-10-01,57.01,8076034,58.05,58.68,56.65
160,2019-10-02,54.35,13990850,55.74,55.749,52.87
159,2019-10-03,52.83,14423340,53.12,53.86,51.81
158,2019-10-04,53.81,6667002,52.85,53.955,52.68
157,2019-10-07,53.36,8782028,53.75,54.11,53.24
156,2019-10-08,53.2,8056042,53.02,54.095,52.8897
155,2019-10-09,53.92,7703830,54.01,54.4,53.59
154,2019-10-10,53.1,26432210,51.95,53.26,51.07
153,2019-10-11,52.95,11017330,53.5,53.77,52.64
152,2019-10-14,52.99,6735434,52.05,53.195,51.97
151,2019-10-15,53.64,8643326,53.21,53.985,53.01
150,2019-10-16,53.17,5560113,53.75,54.13,53.07
149,2019-10-17,53.37,4426462,53.52,53.76,53.25
148,2019-10-18,53.83,6966783,53.19,53.99,53.18
147,2019-10-21,54.58,6754958,54.19,54.98,54.1
146,2019-10-22,54.65,5662769,54.69,54.96,54.06
145,2019-10-23,53.81,4894049,54.05,54.24,53.6
144,2019-10-24,53.79,4829637,54.3,54.66,53.48
143,2019-10-25,54.6,4412771,53.61,54.737,53.6
142,2019-10-28,55.17,3966446,54.72,55.33,54.72
141,2019-10-29,55.38,4480114,55.14,55.865,55.11
140,2019-10-30,55.32,3814080,55.36,55.4099,54.805
139,2019-10-31,55.08,7023985,55.02,55.2,54.41
138,2019-11-01,56.02,5389553,55.55,56.07,55.23
137,2019-11-04,56.88,6164353,56.75,56.97,56.4201
136,2019-11-05,57.51,6915283,57.28,58.14,57.05
135,2019-11-06,57.58,5120270,57.5,57.6,57.035
134,2019-11-07,57.66,7754424,57.92,58.43,57.58
133,2019-11-08,57.58,4820996,57.48,57.66,57.03
132,2019-11-11,57.21,3812049,57.26,57.52,57.09
131,2019-11-12,57.22,4424709,57.59,57.69,57.0402
130,2019-11-13,56.5,4157019,56.74,56.88,56.3
129,2019-11-14,56.55,3768852,56.27,56.75,56.07
128,2019-11-15,56.85,4350156,56.89,57.23,56.82
127,2019-11-18,57.08,3788388,56.78,57.09,56.49
126,2019-11-19,57.07,4704851,57.35,57.49,56.7031
125,2019-11-20,55.67,7383751,56.8,56.85,55.275
124,2019-11-21,55.31,5021257,55.74,55.9856,55.26
123,2019-11-22,56.11,9648222,55.57,56.13,55.1238
122,2019-11-25,56.35,6822744,56.39,56.69,55.69
121,2019-11-26,57.46,4890216,56.32,57.48,56.25
120,2019-11-27,57.07,4064177,57.53,57.58,56.675
119,2019-11-29,57.31,2653578,57.15,57.8499,57.01
118,2019-12-02,56.75,5628804,57.25,57.65,56.715
117,2019-12-03,55.62,7253163,55.89,56.0,54.54
116,2019-12-04,56.06,4760124,55.95,56.57,55.76
115,2019-12-05,55.88,3899946,56.39,56.41,55.7
114,2019-12-06,56.14,4568172,56.44,56.6,56.12
113,2019-12-09,55.8,4069862,55.99,56.145,55.645
112,2019-12-10,55.53,4873709,55.8,56.365,55.43
111,2019-12-11,55.08,5544380,55.4,55.52,54.95
110,2019-12-12,56.69,8871627,55.91,57.49,55.61
109,2019-12-13,56.73,4441484,56.79,57.29,56.43
108,2019-12-16,58.42,7460666,57.17,58.49,57.15
107,2019-12-17,58.69,6664603,58.42,59.3,58.33
106,2019-12-18,58.58,5027033,59.49,59.64,58.45
105,2019-12-19,59.14,4455966,58.62,59.24,58.42
104,2019-12-20,58.97,6026815,59.55,59.575,58.915
103,2019-12-23,59.44,3648234,59.17,59.92,59.03
102,2019-12-24,59.39,1075975,59.66,59.72,59.16
101,2019-12-26,59.56,2465878,59.48,59.72,59.26
100,2019-12-27,59.08,3538711,59.63,59.645,58.79
99,2019-12-30,58.66,3779314,59.25,59.3,58.2438
98,2019-12-31,58.48,2917296,58.49,58.7313,58.34
97,2020-01-02,59.04,4459843,58.93,59.39,58.45
96,2020-01-03,58.06,9079746,57.5,58.12,56.91
95,2020-01-06,57.66,5504424,56.99,57.76,56.66
94,2020-01-07,57.61,5635790,57.91,58.07,57.47
93,2020-01-08,58.85,8519684,57.75,59.4,57.73
92,2020-01-09,58.96,5336915,59.26,59.47,58.58
91,2020-01-10,59.24,8282229,59.25,59.49,58.62
90,2020-01-13,59.49,8452039,59.03,59.7,59.03
89,2020-01-14,61.45,16460980,62.04,62.25,60.86
88,2020-01-15,61.62,7953423,61.54,61.94,61.03
87,2020-01-16,61.88,4950458,62.06,62.48,61.63
86,2020-01-17,62.03,5770008,62.13,62.48,61.865
85,2020-01-21,60.34,16591970,61.25,61.61,58.43
84,2020-01-22,59.64,7096446,60.63,60.72,59.56
83,2020-01-23,60.27,7774547,59.19,60.375,58.19
82,2020-01-24,58.81,10989510,60.1,60.21,57.84
81,2020-01-27,56.83,13090190,56.49,57.18,55.62
80,2020-01-28,57.48,6343686,57.55,57.97,56.75
79,2020-01-29,56.65,5663665,57.64,57.8,56.57
78,2020-01-30,57.1,5980732,55.65,57.18,55.65
77,2020-01-31,55.74,9320794,56.7,57.08,55.43
76,2020-02-03,56.04,7498975,56.2,57.25,56.0
75,2020-02-04,57.93,6880807,57.2,58.4,57.15
74,2020-02-05,58.89,6067216,58.97,59.2993,58.5998
73,2020-02-06,58.18,5210207,59.8,60.03,58.02
72,2020-02-07,57.92,3836844,57.96,58.25,57.52
71,2020-02-10,57.71,4541102,57.54,58.12,57.43
70,2020-02-11,58.66,4566462,58.1,59.1,57.97
69,2020-02-12,59.47,5227469,59.29,59.915,59.18
68,2020-02-13,59.13,4353149,58.75,59.21,58.35
67,2020-02-14,58.9,3810080,59.24,59.47,58.58
66,2020-02-18,58.72,5691853,58.87,59.47,58.41
65,2020-02-19,58.51,4399855,58.49,58.58,58.03
64,2020-02-20,58.38,5239459,58.2,58.99,58.12
63,2020-02-21,57.87,6296079,57.96,58.02,56.87
62,2020-02-24,54.23,17983120,54.83,55.375,53.335
61,2020-02-25,50.89,15836500,54.54,54.71,50.75
60,2020-02-26,49.59,15994710,51.44,51.77,49.0
59,2020-02-27,48.19,21949060,46.72,50.98,45.03
58,2020-02-28,46.13,19860960,46.02,47.7899,45.1352
57,2020-03-02,47.16,20098720,46.22,47.25,44.33
56,2020-03-03,46.18,26344100,49.81,49.97,46.04
55,2020-03-04,48.5,20381790,47.5,48.64,46.021
54,2020-03-05,45.01,22918800,46.5,46.57,44.4175
53,2020-03-06,45.89,25809310,43.47,46.9283,42.87
52,2020-03-09,43.52,25784750,43.04,45.01,42.425
51,2020-03-10,45.47,28693310,45.57,45.88,41.46
50,2020-03-11,42.67,23567780,44.0,44.34,41.73
49,2020-03-12,33.71,36331860,37.47,38.78,33.46
48,2020-03-13,38.36,33052490,38.54,38.74,34.79
47,2020-03-16,35.81,35535360,32.8,38.08,31.23
46,2020-03-17,31.74,33097460,36.23,37.19,30.6
45,2020-03-18,23.49,64242530,29.79,29.79,19.1
44,2020-03-19,21.51,44623380,23.36,24.15,20.0
43,2020-03-20,21.35,55062900,23.17,26.85,21.26
42,2020-03-23,22.22,44426360,22.17,22.83,20.6
41,2020-03-24,26.89,65730290,26.26,28.98,24.52
40,2020-03-25,31.1,70733900,31.49,33.28,27.4
39,2020-03-26,31.7,57913540,32.61,35.89,30.424
38,2020-03-27,29.55,34960740,30.72,31.32,29.02
37,2020-03-30,28.67,29527480,28.49,29.29,26.0
36,2020-03-31,28.53,25002300,29.35,30.53,28.42
35,2020-04-01,23.87,56132990,26.59,26.59,23.69
34,2020-04-02,22.68,39407440,23.92,24.65,22.51
33,2020-04-03,22.48,48967850,23.03,23.65,21.75
32,2020-04-06,22.32,95093020,22.31,23.5,20.76
31,2020-04-07,22.25,98907230,25.21,25.85,21.9
30,2020-04-08,23.23,67565190,23.09,23.64,22.53
29,2020-04-09,24.39,91692860,25.4,25.53,23.35
28,2020-04-13,23.25,76172970,24.98,25.06,22.08
27,2020-04-14,24.54,60843590,23.99,25.29,23.83
26,2020-04-15,24.35,88092460,24.91,25.5,23.31
25,2020-04-16,22.78,57610190,23.76,23.8,22.63
24,2020-04-17,24.27,52594480,24.15,24.61,23.59
23,2020-04-20,23.64,42950780,23.44,24.12,22.91
22,2020-04-21,23.1,38616710,23.02,23.77,22.8
21,2020-04-22,22.47,70221360,23.88,23.94,21.63
20,2020-04-23,22.48,43581840,22.65,22.96,22.41
19,2020-04-24,22.41,43766610,22.53,22.68,21.75
18,2020-04-27,22.16,50561650,22.83,23.44,22.0
17,2020-04-28,24.34,83972150,23.0,24.9,22.65
16,2020-04-29,27.32,81613380,25.69,27.6,25.5
15,2020-04-30,25.91,63570690,26.7,27.23,25.5
14,2020-05-01,24.12,45146130,24.95,25.4,23.72
13,2020-05-04,22.57,91387140,21.19,22.79,20.5
12,2020-05-05,21.71,51178740,23.02,23.5,21.51
11,2020-05-06,21.0,52949150,21.76,22.1,20.7503
10,2020-05-07,21.68,48328180,21.07,22.5,21.02
9,2020-05-08,22.72,43366770,22.36,22.92,22.05
8,2020-05-11,22.01,39151910,22.1,22.51,21.55
7,2020-05-12,21.03,37466270,22.1,22.4,21.03
6,2020-05-13,19.41,72264890,20.97,20.97,19.09
5,2020-05-14,19.38,88506250,18.8,19.54,17.51
4,2020-05-15,19.19,46861840,18.97,19.65,18.62
3,2020-05-18,21.86,74681700,20.91,21.94,20.55
2,2020-05-19,21.76,70906350,22.57,22.57,21.32
1,2020-05-20,22.72,50856960,22.34,23.1,22.14
0,2020-05-21,23.16,46567250,22.77,23.68,22.6668
