,Time,Ticker,Book Value per Share,Current Ratio,Debt to Equity Ratio,Dividend Yield,EBITDA,EBITDA [USD],EBITDA Margin,Earnings before Tax,Enterprise Value,Enterprise Value over EBIT,Enterprise Value over EBITDA,Free Cash Flow,Free Cash Flow per Share,Foreign Currency to USD Exchange Rate,Gross Margin,Invested Capital,Market Capitalization,Profit Margin,Price to Earnings (Damodaran Method),Price to Earnings Ratio,Price to Sales Ratio,Price to Sales (Damodaran Method),Price to Book Value,Sales per Share,Payout Ratio,Tangible Asset Value,Tangible Asset Book Value per Share,Working Capital
0,3/31/2020,UAL_Q,37.983000000000004,0.491,4.633,0.0,-1943000000.0,-1943000000.0,-0.244,-2114000000.0,23222857710.0,11.0,5.236000000000001,-1896000000.0,-7.647,1.0,0.5529999999999999,47602000000.0,7822857710.0,-0.214,7.722,8.436,0.188,0.188,0.831,32.18,0.0,45587000000.0,183.855,-8182000000.0
1,12/31/2019,UAL_Q,45.568999999999996,0.5489999999999999,3.563,0.0,3293000000.0,3293000000.0,0.302,844000000.0,37204615129.0,8.0,5.3660000000000005,-58000000.0,-0.22899999999999998,1.0,0.617,45541000000.0,22290615129.0,0.059000000000000004,7.4079999999999995,7.574,0.515,0.515,1.933,43.028,0.0,45079000000.0,178.14700000000002,-6744000000.0
2,9/30/2019,UAL_Q,43.986000000000004,0.544,3.6189999999999998,0.0,1540000000.0,1540000000.0,0.135,1349000000.0,37348427074.0,9.0,5.718999999999999,281000000.0,1.094,1.0,0.629,43785000000.0,22714427074.0,0.09,8.029,8.163,0.53,0.53,2.01,44.294,0.0,44562000000.0,173.446,-7158000000.0
3,6/30/2019,UAL_Q,39.22,0.5539999999999999,4.053,0.0,1545000000.0,1545000000.0,0.136,1354000000.0,38954978707.0,10.0,6.2620000000000005,1852000000.0,7.037999999999999,1.0,0.627,43054000000.0,23036978707.0,0.092,8.732999999999999,8.861,0.542,0.542,2.2319999999999998,43.332,0.0,44498000000.0,169.111,-7168000000.0
4,3/31/2019,UAL_Q,36.749,0.496,4.166,0.0,555000000.0,555000000.0,0.057999999999999996,367000000.0,31952526093.0,9.0,5.612,306000000.0,1.147,1.0,0.605,43555000000.0,21279526093.0,0.03,9.378,9.577,0.508,0.508,2.171,35.951,0.0,42972000000.0,161.108,-7727000000.0
5,12/31/2018,UAL_Q,36.856,0.513,3.8819999999999997,0.0,2891000000.0,2891000000.0,0.276,553000000.0,32153445217.0,10.0,5.864,-475000000.0,-1.743,1.0,0.603,43235000000.0,22813445217.0,0.044000000000000004,10.751,10.874,0.552,0.552,2.272,38.504,0.0,41342000000.0,151.734,-6745000000.0
6,9/30/2018,UAL_Q,34.735,0.634,3.735,0.0,1230000000.0,1230000000.0,0.11199999999999999,1058000000.0,33616109746.0,10.0,6.202999999999999,88000000.0,0.32299999999999995,1.0,0.597,32588000000.0,24278109746.0,0.076,10.843,11.091,0.603,0.603,2.5639999999999996,40.363,0.0,36932000000.0,135.47899999999998,-5013000000.0
7,6/30/2018,UAL_Q,31.158,0.63,4.173,0.0,1018000000.0,1018000000.0,0.094,855000000.0,29727722827.0,9.0,5.556,1716000000.0,6.189,1.0,0.604,32015000000.0,19333722827.0,0.063,9.426,9.794,0.494,0.494,2.238,38.869,0.0,36769000000.0,132.613,-5211000000.0
8,3/31/2018,UAL_Q,29.28,0.584,4.28,0.0,344000000.0,344000000.0,0.038,182000000.0,30281147000.0,8.0,5.242000000000001,765000000.0,2.687,1.0,0.586,32185000000.0,19778147000.0,0.016,9.035,9.503,0.515,0.515,2.373,31.725,0.0,35974000000.0,126.35700000000001,-5896000000.0
9,12/31/2017,UAL_Q,29.482,0.5589999999999999,3.8480000000000003,0.0,2827000000.0,2827000000.0,0.299,603000000.0,29486414119.0,8.0,5.132999999999999,-189000000.0,-0.638,1.0,0.603,32024000000.0,19967414119.0,0.061,9.318,9.52,0.528,0.528,2.286,31.901999999999997,0.0,34284000000.0,115.726,-5630000000.0
